,Date,o,h,l,c,v
0,2022-07-11 09:15:00,19449.6,19456.75,19316.15,19340.4,557
1,2022-07-11 09:30:00,19340.4,19490.0,19335.15,19462.8,1170
2,2022-07-11 09:45:00,19462.8,19530.2,19462.8,19499.45,1437
3,2022-07-11 10:00:00,19499.45,19583.0,19476.3,19581.25,1852
4,2022-07-11 10:15:00,19582.9,19664.45,19557.15,19585.55,2413
5,2022-07-11 10:30:00,19550.0,19561.75,19500.0,19519.65,2657
6,2022-07-11 10:45:00,19519.65,19543.75,19500.0,19500.0,2796
7,2022-07-11 11:00:00,19500.0,19535.45,19500.0,19512.6,2909
8,2022-07-11 11:15:00,19534.1,19544.9,19512.75,19518.65,3030
9,2022-07-11 11:30:00,19518.65,19531.1,19432.0,19432.1,3375
10,2022-07-11 11:45:00,19407.3,19430.75,19400.0,19407.75,3551
11,2022-07-11 12:00:00,19411.2,19427.4,19341.3,19353.9,3740
12,2022-07-11 12:15:00,19353.9,19372.6,19340.15,19350.2,3857
13,2022-07-11 12:30:00,19350.2,19366.9,19340.0,19340.0,3942
14,2022-07-11 12:45:00,19340.0,19363.25,19324.1,19340.0,4029
15,2022-07-11 13:00:00,19340.0,19378.0,19330.0,19359.65,4143
16,2022-07-11 13:15:00,19359.65,19445.65,19348.1,19376.5,4586
17,2022-07-11 13:30:00,19376.5,19426.85,19376.5,19414.95,4668
18,2022-07-11 13:45:00,19414.95,19425.0,19360.0,19360.0,4745
19,2022-07-11 14:00:00,19360.0,19425.9,19360.0,19410.0,4830
20,2022-07-11 14:15:00,19410.0,19410.0,19364.0,19364.0,4924
21,2022-07-11 14:30:00,19364.0,19405.0,19364.0,19384.35,5066
22,2022-07-11 14:45:00,19384.35,19404.95,19375.45,19379.75,5124
23,2022-07-11 15:00:00,19379.75,19397.95,19362.4,19377.75,5393
24,2022-07-11 15:15:00,19377.75,19377.75,19306.4,19310.0,6205
25,2022-07-11 15:30:00,19344.4,19344.4,19344.4,19344.4,6205
26,2022-07-12 09:15:00,19300.0,19360.3,19180.2,19335.65,609
27,2022-07-12 09:30:00,19335.65,19349.9,19276.15,19323.8,1017
28,2022-07-12 09:45:00,19323.8,19405.55,19323.8,19379.35,1256
29,2022-07-12 10:00:00,19379.35,19414.6,19367.25,19374.85,1427
30,2022-07-12 10:15:00,19374.85,19397.65,19366.3,19384.1,1591
31,2022-07-12 10:30:00,19384.1,19442.3,19379.25,19422.3,1834
32,2022-07-12 10:45:00,19422.3,19500.0,19409.55,19481.8,2432
