,Date,o,h,l,c,v
0,2022-07-25 09:15:00,103.95,104.5,102.5,102.5,285381
1,2022-07-25 09:30:00,102.5,103.55,102.0,103.0,695901
2,2022-07-25 09:45:00,102.9,103.0,102.2,102.7,881865
3,2022-07-25 10:00:00,102.7,102.95,102.4,102.7,984668
4,2022-07-25 10:15:00,102.7,103.2,102.55,102.95,1075343
5,2022-07-25 10:30:00,102.95,103.1,102.7,103.1,1132810
6,2022-07-25 10:45:00,103.1,103.15,102.75,103.05,1157716
7,2022-07-25 11:00:00,103.0,103.0,102.5,102.6,1199157
8,2022-07-25 11:15:00,102.6,102.65,102.45,102.55,1235204
9,2022-07-25 11:30:00,102.55,102.95,102.4,102.95,1282279
10,2022-07-25 11:45:00,102.95,103.0,102.5,102.55,1333383
11,2022-07-25 12:00:00,102.55,102.75,102.4,102.6,1354066
12,2022-07-25 12:15:00,102.6,102.7,102.45,102.55,1369311
13,2022-07-25 12:30:00,102.5,102.7,102.5,102.6,1380254
14,2022-07-25 12:45:00,102.6,102.7,102.4,102.5,1407345
15,2022-07-25 13:00:00,102.55,102.55,102.35,102.55,1446403
16,2022-07-25 13:15:00,102.55,102.85,102.55,102.85,1477886
17,2022-07-25 13:30:00,102.85,102.85,102.5,102.65,1507248
18,2022-07-25 13:45:00,102.65,102.75,102.6,102.65,1524334
19,2022-07-25 14:00:00,102.65,102.9,102.5,102.75,1557588
20,2022-07-25 14:15:00,102.9,103.0,102.7,102.95,1624118
21,2022-07-25 14:30:00,102.9,102.95,102.6,102.8,1702756
22,2022-07-25 14:45:00,102.8,102.8,102.55,102.65,1749448
23,2022-07-25 15:00:00,102.7,102.75,102.3,102.5,1855669
24,2022-07-25 15:15:00,102.5,102.5,102.3,102.3,2056738
25,2022-07-25 15:30:00,102.3,102.5,102.3,102.5,2137438
