,Date,o,h,l,c,v
0,2022-07-11 09:15:00,252.35,256.9,251.45,256.85,172039
1,2022-07-11 09:30:00,256.85,258.5,255.8,258.0,354683
2,2022-07-11 09:45:00,258.0,258.6,256.25,257.45,555774
3,2022-07-11 10:00:00,257.45,257.55,256.25,256.7,605635
4,2022-07-11 10:15:00,256.7,257.2,256.15,257.0,644172
5,2022-07-11 10:30:00,257.15,257.7,256.35,256.65,679094
6,2022-07-11 10:45:00,256.7,257.6,256.45,257.35,708763
7,2022-07-11 11:00:00,257.35,258.05,257.1,257.9,745302
8,2022-07-11 11:15:00,257.9,257.9,256.55,256.6,768803
9,2022-07-11 11:30:00,256.75,257.45,256.45,256.7,786501
10,2022-07-11 11:45:00,256.7,256.9,256.5,256.9,799610
11,2022-07-11 12:00:00,256.9,257.5,256.9,257.2,814063
12,2022-07-11 12:15:00,257.2,259.5,257.0,258.7,1026285
13,2022-07-11 12:30:00,258.7,259.35,258.1,258.2,1058142
14,2022-07-11 12:45:00,258.2,258.45,257.4,257.95,1090083
15,2022-07-11 13:00:00,257.95,258.9,257.95,258.45,1111345
16,2022-07-11 13:15:00,258.45,260.0,258.45,259.4,1153728
17,2022-07-11 13:30:00,259.4,259.8,259.25,259.6,1179862
18,2022-07-11 13:45:00,259.6,259.6,258.5,258.55,1210168
19,2022-07-11 14:00:00,258.55,259.1,258.15,258.2,1239306
20,2022-07-11 14:15:00,258.4,259.85,258.0,259.5,1289555
21,2022-07-11 14:30:00,259.5,262.75,259.5,261.2,1615868
22,2022-07-11 14:45:00,261.15,261.4,260.15,260.5,1660365
23,2022-07-11 15:00:00,260.4,262.5,260.35,262.4,1845715
24,2022-07-11 15:15:00,262.4,262.5,261.1,261.6,2091438
25,2022-07-11 15:30:00,261.85,261.85,261.85,261.85,2092411
26,2022-07-12 09:15:00,259.5,262.4,258.5,262.1,67758
27,2022-07-12 09:30:00,262.05,263.2,261.3,262.5,161501
28,2022-07-12 09:45:00,262.5,262.5,260.5,261.1,236232
29,2022-07-12 10:00:00,261.1,261.35,260.6,261.15,277220
30,2022-07-12 10:15:00,261.15,261.25,260.7,261.05,292185
31,2022-07-12 10:30:00,261.05,261.25,260.1,261.0,322323
32,2022-07-12 10:45:00,261.0,261.2,260.65,260.65,340028
