,Date,o,h,l,c,v
0,2022-07-25 09:15:00,428.45,428.45,427.2,427.3,865
1,2022-07-25 09:30:00,427.3,427.45,426.9,427.0,2788
2,2022-07-25 09:45:00,427.0,427.0,425.5,425.5,4346
3,2022-07-25 10:00:00,425.5,426.25,425.5,426.0,4940
4,2022-07-25 10:15:00,426.0,426.0,425.25,425.3,5386
5,2022-07-25 10:30:00,425.3,426.05,425.3,425.4,5873
6,2022-07-25 10:45:00,425.4,426.0,425.0,425.45,6465
7,2022-07-25 11:00:00,425.5,425.55,420.95,423.05,9956
8,2022-07-25 11:15:00,423.05,424.65,422.05,424.25,12848
9,2022-07-25 11:30:00,424.25,424.45,421.45,422.9,15015
10,2022-07-25 11:45:00,423.0,425.05,423.0,424.9,16208
11,2022-07-25 12:00:00,424.9,425.2,424.3,424.9,16735
12,2022-07-25 12:15:00,424.9,424.9,424.2,424.75,16860
13,2022-07-25 12:30:00,424.75,425.9,424.2,425.9,17711
14,2022-07-25 12:45:00,425.9,426.3,425.75,426.3,18655
15,2022-07-25 13:00:00,426.35,426.65,426.35,426.35,19265
16,2022-07-25 13:15:00,426.35,427.75,418.0,421.05,21290
17,2022-07-25 13:30:00,421.05,425.1,421.05,423.45,35016
18,2022-07-25 13:45:00,423.45,423.9,422.95,423.5,35718
19,2022-07-25 14:00:00,423.5,423.95,422.95,423.9,36030
20,2022-07-25 14:15:00,423.9,424.1,422.8,422.9,36745
21,2022-07-25 14:30:00,423.0,423.4,419.95,420.5,42434
22,2022-07-25 14:45:00,420.5,423.4,420.5,422.4,44939
23,2022-07-25 15:00:00,422.4,422.6,421.45,421.8,45982
24,2022-07-25 15:15:00,421.8,422.0,419.25,420.1,50484
25,2022-07-25 15:30:00,421.2,421.2,421.2,421.2,53795
