,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2192.6,2201.5,2176.9,2180.55,24109
1,2022-07-25 09:30:00,2180.55,2195.0,2180.0,2193.3,52279
2,2022-07-25 09:45:00,2194.3,2194.8,2183.5,2183.7,68612
3,2022-07-25 10:00:00,2183.7,2194.95,2183.0,2192.5,79888
4,2022-07-25 10:15:00,2193.65,2193.85,2186.0,2191.0,90704
5,2022-07-25 10:30:00,2191.0,2194.0,2189.1,2190.3,98403
6,2022-07-25 10:45:00,2190.3,2192.75,2188.0,2188.0,104926
7,2022-07-25 11:00:00,2188.0,2188.4,2183.1,2183.1,113390
8,2022-07-25 11:15:00,2183.1,2189.8,2183.1,2185.05,120039
9,2022-07-25 11:30:00,2185.05,2186.95,2182.0,2186.1,129559
10,2022-07-25 11:45:00,2186.1,2188.9,2184.15,2186.15,133781
11,2022-07-25 12:00:00,2186.05,2186.55,2184.15,2184.95,138670
12,2022-07-25 12:15:00,2184.95,2186.95,2184.25,2186.0,141157
13,2022-07-25 12:30:00,2186.0,2186.6,2183.1,2185.0,147140
14,2022-07-25 12:45:00,2185.0,2191.4,2184.2,2191.3,155408
15,2022-07-25 13:00:00,2191.3,2196.0,2187.15,2195.55,171325
16,2022-07-25 13:15:00,2195.55,2196.0,2191.25,2191.25,184631
17,2022-07-25 13:30:00,2191.25,2196.55,2190.25,2196.0,192190
18,2022-07-25 13:45:00,2197.0,2198.4,2193.3,2196.0,221733
19,2022-07-25 14:00:00,2196.0,2210.0,2194.8,2209.0,250975
20,2022-07-25 14:15:00,2209.0,2213.0,2205.8,2211.9,305346
21,2022-07-25 14:30:00,2211.9,2211.9,2205.15,2208.95,319580
22,2022-07-25 14:45:00,2208.7,2210.75,2206.05,2210.5,328333
23,2022-07-25 15:00:00,2210.7,2210.7,2201.5,2204.9,347017
24,2022-07-25 15:15:00,2204.4,2207.7,2201.2,2203.95,370367
25,2022-07-25 15:30:00,2203.95,2204.45,2203.95,2204.45,379489
