,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2502.95,2524.9,2500.0,2520.95,94779
1,2022-07-25 09:30:00,2518.55,2532.0,2511.3,2531.0,193678
2,2022-07-25 09:45:00,2530.05,2534.3,2517.4,2524.8,289376
3,2022-07-25 10:00:00,2524.8,2528.45,2518.0,2526.55,347449
4,2022-07-25 10:15:00,2526.55,2531.0,2523.65,2525.05,378756
5,2022-07-25 10:30:00,2525.05,2532.95,2522.15,2529.25,413783
6,2022-07-25 10:45:00,2530.35,2540.0,2525.9,2536.7,454974
7,2022-07-25 11:00:00,2536.7,2539.3,2531.3,2533.7,521703
8,2022-07-25 11:15:00,2532.85,2539.0,2529.1,2529.25,557706
9,2022-07-25 11:30:00,2529.25,2537.9,2529.0,2535.95,594150
10,2022-07-25 11:45:00,2535.95,2539.8,2531.5,2537.4,618724
11,2022-07-25 12:00:00,2537.4,2537.75,2532.5,2533.8,634225
12,2022-07-25 12:15:00,2535.0,2543.5,2533.5,2541.0,664970
13,2022-07-25 12:30:00,2541.0,2548.0,2538.9,2547.5,704391
14,2022-07-25 12:45:00,2548.0,2548.95,2541.2,2545.35,750678
15,2022-07-25 13:00:00,2545.3,2545.5,2539.0,2544.9,774626
16,2022-07-25 13:15:00,2544.9,2550.0,2541.8,2548.95,796085
17,2022-07-25 13:30:00,2549.75,2549.75,2541.2,2542.75,839433
18,2022-07-25 13:45:00,2543.6,2545.1,2540.3,2542.0,857080
19,2022-07-25 14:00:00,2542.0,2558.0,2541.3,2556.0,884430
20,2022-07-25 14:15:00,2556.0,2562.0,2553.05,2556.05,952821
21,2022-07-25 14:30:00,2557.0,2560.0,2552.45,2558.0,1003719
22,2022-07-25 14:45:00,2557.1,2560.0,2555.3,2558.0,1032258
23,2022-07-25 15:00:00,2558.9,2558.9,2546.65,2548.0,1085560
24,2022-07-25 15:15:00,2548.1,2552.85,2544.15,2549.9,1183153
25,2022-07-25 15:30:00,2550.6,2550.6,2550.6,2550.6,1219926
