,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2121.2,2158.4,2116.5,2137.05,139495
1,2022-07-25 09:30:00,2136.05,2143.95,2126.05,2132.0,283016
2,2022-07-25 09:45:00,2131.95,2135.0,2125.8,2132.0,331890
3,2022-07-25 10:00:00,2132.0,2134.0,2128.0,2132.05,360650
4,2022-07-25 10:15:00,2132.05,2133.0,2128.05,2128.05,379254
5,2022-07-25 10:30:00,2128.5,2136.8,2128.05,2136.05,397929
6,2022-07-25 10:45:00,2136.05,2151.8,2135.0,2141.9,451962
7,2022-07-25 11:00:00,2141.95,2145.1,2138.0,2141.0,512336
8,2022-07-25 11:15:00,2141.0,2148.9,2139.4,2143.6,557284
9,2022-07-25 11:30:00,2143.95,2144.95,2137.0,2138.8,607547
10,2022-07-25 11:45:00,2138.8,2140.0,2133.0,2135.7,630822
11,2022-07-25 12:00:00,2135.7,2139.55,2135.7,2136.05,642281
12,2022-07-25 12:15:00,2136.05,2142.5,2136.05,2142.3,652947
13,2022-07-25 12:30:00,2142.3,2145.0,2140.3,2142.0,695587
14,2022-07-25 12:45:00,2142.0,2143.0,2135.05,2140.0,724161
15,2022-07-25 13:00:00,2140.0,2141.75,2140.0,2141.25,747030
16,2022-07-25 13:15:00,2141.25,2143.0,2140.0,2140.05,757358
17,2022-07-25 13:30:00,2140.05,2142.05,2140.0,2140.9,766662
18,2022-07-25 13:45:00,2140.9,2143.0,2140.05,2140.1,775611
19,2022-07-25 14:00:00,2140.1,2154.75,2140.05,2153.0,799833
20,2022-07-25 14:15:00,2153.0,2159.75,2145.0,2152.05,878762
21,2022-07-25 14:30:00,2152.05,2156.8,2146.2,2151.4,939090
22,2022-07-25 14:45:00,2151.0,2151.0,2130.05,2137.5,991016
23,2022-07-25 15:00:00,2137.5,2142.7,2133.0,2134.5,1054692
24,2022-07-25 15:15:00,2135.9,2140.0,2130.25,2139.5,1129421
25,2022-07-25 15:30:00,2137.5,2137.6,2137.5,2137.6,1165824
