,Date,o,h,l,c,v
0,2022-07-11 09:15:00,713.55,721.45,713.05,720.0,391789
1,2022-07-11 09:30:00,719.95,723.4,718.55,722.25,711461
2,2022-07-11 09:45:00,722.05,726.2,721.75,724.65,956424
3,2022-07-11 10:00:00,724.55,725.35,722.55,723.5,1058610
4,2022-07-11 10:15:00,723.5,724.4,721.0,722.85,1206381
5,2022-07-11 10:30:00,722.75,724.25,721.55,722.45,1297920
6,2022-07-11 10:45:00,722.45,722.5,719.9,720.3,1401565
7,2022-07-11 11:00:00,720.3,721.7,720.0,721.5,1453441
8,2022-07-11 11:15:00,721.5,721.5,718.3,719.3,1556621
9,2022-07-11 11:30:00,719.5,721.7,718.5,719.5,1625554
10,2022-07-11 11:45:00,719.5,720.5,719.0,719.75,1667454
11,2022-07-11 12:00:00,719.75,723.5,719.75,723.5,1794865
12,2022-07-11 12:15:00,723.5,724.0,722.0,722.35,1907039
13,2022-07-11 12:30:00,722.1,724.35,721.0,723.55,2040608
14,2022-07-11 12:45:00,723.85,724.95,723.0,723.6,2128625
15,2022-07-11 13:00:00,723.75,724.55,723.05,724.5,2219972
16,2022-07-11 13:15:00,724.5,727.0,724.2,725.25,2365563
17,2022-07-11 13:30:00,725.25,727.0,725.25,725.3,2440991
18,2022-07-11 13:45:00,725.3,729.8,725.2,728.5,2598911
19,2022-07-11 14:00:00,728.5,730.5,728.0,730.1,2774544
20,2022-07-11 14:15:00,729.85,730.9,728.0,728.85,2927464
21,2022-07-11 14:30:00,728.85,731.0,728.4,730.95,3041513
22,2022-07-11 14:45:00,731.0,731.95,729.05,730.95,3236462
23,2022-07-11 15:00:00,730.85,732.0,727.05,727.45,3516841
24,2022-07-11 15:15:00,727.45,730.55,725.2,726.35,3812607
25,2022-07-11 15:30:00,729.2,729.2,729.2,729.2,3814271
26,2022-07-12 09:15:00,729.0,735.9,726.4,735.4,670766
27,2022-07-12 09:30:00,735.35,736.25,733.0,735.05,1343197
28,2022-07-12 09:45:00,735.25,738.35,732.35,733.5,1720977
29,2022-07-12 10:00:00,733.5,738.2,733.0,736.9,2034773
30,2022-07-12 10:15:00,736.9,739.9,735.9,739.5,2302381
31,2022-07-12 10:30:00,739.45,741.0,738.65,740.05,2537510
32,2022-07-12 10:45:00,740.4,741.5,740.0,740.65,2784455
