,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2989.75,2992.65,2965.05,2988.0,15300
1,2022-07-25 09:30:00,2988.1,2989.25,2975.15,2983.8,27901
2,2022-07-25 09:45:00,2983.8,2990.6,2980.0,2983.85,35403
3,2022-07-25 10:00:00,2983.85,2990.0,2980.1,2988.0,40930
4,2022-07-25 10:15:00,2988.0,2999.2,2985.05,2997.55,44560
5,2022-07-25 10:30:00,2997.9,3021.4,2995.0,3008.6,55804
6,2022-07-25 10:45:00,3008.6,3015.0,3005.1,3005.1,66455
7,2022-07-25 11:00:00,3005.1,3012.0,3001.8,3005.1,73814
8,2022-07-25 11:15:00,3005.1,3013.0,3002.3,3011.65,76784
9,2022-07-25 11:30:00,3011.65,3013.0,3009.6,3011.15,79662
10,2022-07-25 11:45:00,3011.15,3012.45,3009.25,3010.95,82070
11,2022-07-25 12:00:00,3010.95,3012.0,3010.05,3010.75,84400
12,2022-07-25 12:15:00,3010.75,3011.95,2989.9,2998.6,89984
13,2022-07-25 12:30:00,2998.6,3000.0,2995.0,2995.2,94140
14,2022-07-25 12:45:00,2997.45,3007.45,2995.2,3002.55,96880
15,2022-07-25 13:00:00,3001.75,3005.0,3000.15,3004.95,99052
16,2022-07-25 13:15:00,3004.95,3006.0,2996.3,3000.8,101292
17,2022-07-25 13:30:00,3000.8,3005.0,3000.05,3005.0,103019
18,2022-07-25 13:45:00,3005.0,3010.0,2999.0,3000.0,104742
19,2022-07-25 14:00:00,3000.0,3008.0,2999.4,3006.5,107984
20,2022-07-25 14:15:00,3006.5,3010.0,3003.25,3007.95,110870
21,2022-07-25 14:30:00,3007.95,3010.0,2992.95,2992.95,115301
22,2022-07-25 14:45:00,2992.95,2999.0,2961.0,2970.0,124843
23,2022-07-25 15:00:00,2970.05,2978.6,2965.25,2970.45,191276
24,2022-07-25 15:15:00,2970.05,2980.0,2960.0,2970.0,279175
25,2022-07-25 15:30:00,2970.0,2970.0,2969.75,2969.75,294552
