,Date,o,h,l,c,v
0,2022-07-11 09:15:00,208.7,212.5,208.65,212.05,90624
1,2022-07-11 09:30:00,212.15,212.6,211.7,211.95,146413
2,2022-07-11 09:45:00,211.95,212.0,211.65,212.0,161883
3,2022-07-11 10:00:00,212.0,212.55,211.6,212.0,197806
4,2022-07-11 10:15:00,212.0,212.0,211.85,212.0,211390
5,2022-07-11 10:30:00,212.0,212.25,211.8,211.9,222565
6,2022-07-11 10:45:00,211.9,212.0,210.95,211.0,240273
7,2022-07-11 11:00:00,211.0,211.0,210.6,210.75,249497
8,2022-07-11 11:15:00,210.65,211.0,210.65,210.85,254155
9,2022-07-11 11:30:00,211.0,211.0,210.65,210.75,265142
10,2022-07-11 11:45:00,210.75,211.25,210.7,210.9,277320
11,2022-07-11 12:00:00,210.9,211.0,210.85,211.0,282894
12,2022-07-11 12:15:00,210.85,211.0,210.85,211.0,289767
13,2022-07-11 12:30:00,211.0,211.4,210.85,211.0,306152
14,2022-07-11 12:45:00,211.0,211.0,210.8,210.85,324589
15,2022-07-11 13:00:00,210.85,211.0,210.85,211.0,334199
16,2022-07-11 13:15:00,211.0,211.45,210.85,211.0,341762
17,2022-07-11 13:30:00,211.0,211.0,210.9,211.0,351628
18,2022-07-11 13:45:00,211.0,211.75,210.5,210.8,388456
19,2022-07-11 14:00:00,210.8,211.45,210.8,211.4,403776
20,2022-07-11 14:15:00,211.4,211.9,210.8,210.9,430611
21,2022-07-11 14:30:00,211.0,211.0,210.9,211.0,443733
22,2022-07-11 14:45:00,211.0,211.45,210.8,210.95,469411
23,2022-07-11 15:00:00,210.95,211.5,210.8,211.0,507589
24,2022-07-11 15:15:00,211.0,211.4,210.1,210.85,557526
25,2022-07-11 15:30:00,210.95,210.95,210.95,210.95,557526
26,2022-07-12 09:15:00,209.95,210.0,208.95,209.6,16437
27,2022-07-12 09:30:00,209.6,210.4,209.2,209.25,27479
28,2022-07-12 09:45:00,209.45,209.65,209.05,209.6,43031
29,2022-07-12 10:00:00,209.6,209.6,209.15,209.45,50637
30,2022-07-12 10:15:00,209.45,209.85,209.3,209.45,55312
31,2022-07-12 10:30:00,209.45,209.7,209.15,209.65,57120
32,2022-07-12 10:45:00,209.65,209.65,209.2,209.2,58637
