,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1038.85,1054.0,1030.0,1044.4,27248
1,2022-07-11 09:30:00,1044.4,1047.75,1036.1,1047.0,57386
2,2022-07-11 09:45:00,1046.4,1050.0,1043.95,1044.1,66877
3,2022-07-11 10:00:00,1044.1,1049.95,1042.85,1047.35,73332
4,2022-07-11 10:15:00,1047.0,1047.1,1041.1,1047.0,76728
5,2022-07-11 10:30:00,1047.0,1047.0,1042.05,1044.0,78398
6,2022-07-11 10:45:00,1044.0,1044.95,1042.1,1044.05,79908
7,2022-07-11 11:00:00,1044.05,1046.8,1042.5,1045.2,81943
8,2022-07-11 11:15:00,1045.2,1046.3,1040.75,1043.0,85017
9,2022-07-11 11:30:00,1043.0,1043.0,1040.55,1041.0,88726
10,2022-07-11 11:45:00,1041.0,1041.0,1037.0,1038.0,93014
11,2022-07-11 12:00:00,1038.0,1043.0,1037.75,1041.5,95261
12,2022-07-11 12:15:00,1041.5,1043.0,1041.25,1041.25,96245
13,2022-07-11 12:30:00,1041.6,1042.5,1039.55,1041.25,97759
14,2022-07-11 12:45:00,1041.25,1041.25,1038.5,1038.5,100073
15,2022-07-11 13:00:00,1038.5,1042.0,1038.1,1041.9,101970
16,2022-07-11 13:15:00,1041.9,1042.1,1040.1,1041.55,103647
17,2022-07-11 13:30:00,1042.5,1046.0,1042.5,1045.95,108798
18,2022-07-11 13:45:00,1045.95,1046.0,1044.0,1044.75,110269
19,2022-07-11 14:00:00,1044.75,1045.95,1043.1,1043.95,112966
20,2022-07-11 14:15:00,1043.95,1044.85,1040.6,1043.35,115578
21,2022-07-11 14:30:00,1043.35,1044.95,1042.75,1044.7,118594
22,2022-07-11 14:45:00,1044.7,1044.8,1041.15,1043.0,121390
23,2022-07-11 15:00:00,1043.0,1045.5,1041.1,1043.75,129767
24,2022-07-11 15:15:00,1043.75,1043.75,1032.0,1037.8,141032
25,2022-07-11 15:30:00,1039.85,1039.85,1039.85,1039.85,141036
26,2022-07-12 09:15:00,1034.35,1044.95,1029.05,1044.05,10004
27,2022-07-12 09:30:00,1044.7,1045.55,1038.0,1038.9,32875
28,2022-07-12 09:45:00,1038.5,1042.65,1036.2,1040.0,56121
29,2022-07-12 10:00:00,1040.0,1041.95,1037.35,1039.3,66810
30,2022-07-12 10:15:00,1039.3,1039.45,1036.0,1036.7,70390
31,2022-07-12 10:30:00,1036.85,1036.85,1030.95,1033.55,75733
32,2022-07-12 10:45:00,1033.55,1034.35,1030.1,1031.4,85633
