,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2399.65,2410.0,2392.05,2405.7,1357
1,2022-07-25 09:30:00,2405.7,2410.0,2398.95,2408.05,2356
2,2022-07-25 09:45:00,2408.05,2410.0,2402.65,2408.65,2880
3,2022-07-25 10:00:00,2408.65,2411.8,2408.05,2408.5,3642
4,2022-07-25 10:15:00,2408.5,2413.95,2408.0,2410.6,3944
5,2022-07-25 10:30:00,2410.6,2412.55,2408.45,2410.0,4350
6,2022-07-25 10:45:00,2410.0,2410.0,2403.2,2407.1,4802
7,2022-07-25 11:00:00,2407.1,2408.25,2390.65,2396.1,5077
8,2022-07-25 11:15:00,2396.1,2400.0,2394.0,2400.0,5299
9,2022-07-25 11:30:00,2400.0,2400.0,2380.3,2380.3,5853
10,2022-07-25 11:45:00,2381.6,2388.1,2374.0,2375.0,13785
11,2022-07-25 12:00:00,2375.0,2380.0,2375.0,2379.85,22551
12,2022-07-25 12:15:00,2379.85,2380.0,2378.0,2379.0,22646
13,2022-07-25 12:30:00,2379.0,2380.0,2376.35,2376.35,22835
14,2022-07-25 12:45:00,2376.35,2379.5,2368.0,2370.6,23320
15,2022-07-25 13:00:00,2370.6,2375.0,2370.0,2374.3,23937
16,2022-07-25 13:15:00,2374.3,2374.3,2370.0,2371.3,24077
17,2022-07-25 13:30:00,2371.3,2375.0,2368.0,2371.95,24430
18,2022-07-25 13:45:00,2371.95,2374.9,2370.9,2372.1,24965
19,2022-07-25 14:00:00,2373.75,2375.0,2373.5,2373.5,25156
20,2022-07-25 14:15:00,2373.5,2375.0,2369.55,2375.0,25577
21,2022-07-25 14:30:00,2375.0,2375.0,2356.0,2364.05,26497
22,2022-07-25 14:45:00,2364.05,2379.95,2362.85,2379.5,27675
23,2022-07-25 15:00:00,2379.5,2379.95,2365.0,2371.5,28863
24,2022-07-25 15:15:00,2374.65,2374.65,2350.0,2352.25,30538
25,2022-07-25 15:30:00,2360.05,2360.05,2360.05,2360.05,32257
