,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1302.3,1302.3,1282.6,1284.45,907
1,2022-07-25 09:30:00,1284.45,1290.05,1284.45,1288.0,1960
2,2022-07-25 09:45:00,1288.0,1291.75,1286.0,1288.0,2505
3,2022-07-25 10:00:00,1288.0,1289.1,1283.0,1289.1,3118
4,2022-07-25 10:15:00,1289.1,1291.95,1287.25,1290.6,3918
5,2022-07-25 10:30:00,1290.6,1291.4,1284.35,1286.0,4770
6,2022-07-25 10:45:00,1286.0,1290.15,1284.85,1285.0,5704
7,2022-07-25 11:00:00,1285.0,1285.0,1281.7,1283.6,6599
8,2022-07-25 11:15:00,1283.6,1287.9,1281.7,1285.0,7388
9,2022-07-25 11:30:00,1285.0,1291.0,1282.5,1289.7,8014
10,2022-07-25 11:45:00,1289.7,1298.0,1288.35,1296.65,8626
11,2022-07-25 12:00:00,1296.5,1298.45,1295.9,1298.45,9134
12,2022-07-25 12:15:00,1298.45,1299.9,1298.0,1298.2,9417
13,2022-07-25 12:30:00,1298.2,1298.9,1294.0,1295.0,10068
14,2022-07-25 12:45:00,1295.0,1295.9,1290.0,1290.0,10478
15,2022-07-25 13:00:00,1290.0,1290.2,1287.85,1289.0,10965
16,2022-07-25 13:15:00,1289.0,1289.0,1282.5,1283.0,11311
17,2022-07-25 13:30:00,1283.0,1284.6,1269.1,1269.1,12093
18,2022-07-25 13:45:00,1269.1,1271.95,1266.0,1270.7,14456
19,2022-07-25 14:00:00,1271.35,1277.05,1271.35,1277.05,16035
20,2022-07-25 14:15:00,1277.05,1289.95,1276.55,1287.95,16815
21,2022-07-25 14:30:00,1287.95,1289.0,1283.6,1283.6,18166
22,2022-07-25 14:45:00,1283.6,1291.0,1283.6,1291.0,19332
23,2022-07-25 15:00:00,1291.1,1292.0,1279.0,1280.0,20952
24,2022-07-25 15:15:00,1279.6,1280.0,1270.0,1273.0,22699
25,2022-07-25 15:30:00,1277.55,1277.55,1277.55,1277.55,23742
