,Date,o,h,l,c,v
0,2022-07-11 09:15:00,286.0,293.0,283.0,283.25,281482
1,2022-07-11 09:30:00,283.35,284.4,280.5,283.5,350111
2,2022-07-11 09:45:00,283.5,283.5,279.45,282.3,398738
3,2022-07-11 10:00:00,282.3,283.5,281.25,282.6,414815
4,2022-07-11 10:15:00,282.6,285.5,281.8,285.05,470437
5,2022-07-11 10:30:00,285.05,285.2,281.95,283.0,518452
6,2022-07-11 10:45:00,283.0,283.85,282.2,282.8,530321
7,2022-07-11 11:00:00,282.8,282.8,280.65,282.55,551207
8,2022-07-11 11:15:00,282.55,282.75,282.0,282.15,554942
9,2022-07-11 11:30:00,282.15,283.0,280.9,280.9,565855
10,2022-07-11 11:45:00,280.9,282.15,280.8,282.15,569927
11,2022-07-11 12:00:00,282.15,282.5,281.15,281.15,579738
12,2022-07-11 12:15:00,281.15,283.05,281.05,281.7,611073
13,2022-07-11 12:30:00,281.7,281.7,280.25,280.8,632903
14,2022-07-11 12:45:00,280.8,281.2,279.4,280.6,668131
15,2022-07-11 13:00:00,280.6,281.8,280.6,281.15,677173
16,2022-07-11 13:15:00,281.5,281.65,280.75,281.0,696836
17,2022-07-11 13:30:00,281.3,285.05,280.65,284.05,724204
18,2022-07-11 13:45:00,284.0,286.9,284.0,285.5,756677
19,2022-07-11 14:00:00,285.5,286.15,283.95,284.2,779909
20,2022-07-11 14:15:00,284.2,285.2,283.9,284.0,786919
21,2022-07-11 14:30:00,284.55,285.45,284.0,284.9,798699
22,2022-07-11 14:45:00,284.9,286.15,284.0,285.4,820718
23,2022-07-11 15:00:00,285.05,289.5,284.55,289.45,862563
24,2022-07-11 15:15:00,289.25,290.0,287.2,287.2,930064
25,2022-07-11 15:30:00,288.45,288.45,288.45,288.45,930976
26,2022-07-12 09:15:00,285.75,286.55,283.0,284.3,17511
27,2022-07-12 09:30:00,284.3,284.3,281.1,281.65,39007
28,2022-07-12 09:45:00,281.65,283.55,281.5,283.55,54121
29,2022-07-12 10:00:00,283.25,284.05,283.2,283.55,62910
30,2022-07-12 10:15:00,283.55,283.55,282.5,282.85,70969
31,2022-07-12 10:30:00,282.85,283.65,282.65,283.4,77919
32,2022-07-12 10:45:00,283.4,283.45,283.1,283.45,80544
