,Date,o,h,l,c,v
0,2022-07-11 09:15:00,462.85,465.5,461.35,462.5,52962
1,2022-07-11 09:30:00,462.5,462.95,459.1,462.8,97257
2,2022-07-11 09:45:00,462.45,462.95,461.75,462.1,109121
3,2022-07-11 10:00:00,462.1,462.65,461.4,462.2,139519
4,2022-07-11 10:15:00,462.2,463.05,461.9,462.9,162417
5,2022-07-11 10:30:00,462.9,465.1,462.2,464.3,191060
6,2022-07-11 10:45:00,464.3,465.5,462.85,462.85,223702
7,2022-07-11 11:00:00,463.05,463.9,462.5,463.85,228080
8,2022-07-11 11:15:00,463.85,464.15,462.7,463.55,242202
9,2022-07-11 11:30:00,463.55,465.2,463.45,464.35,270313
10,2022-07-11 11:45:00,464.35,464.55,464.0,464.55,273125
11,2022-07-11 12:00:00,464.55,467.0,464.55,466.1,297014
12,2022-07-11 12:15:00,466.1,466.9,465.9,466.25,313324
13,2022-07-11 12:30:00,466.25,471.1,466.1,470.55,383182
14,2022-07-11 12:45:00,470.55,471.8,470.1,471.7,415335
15,2022-07-11 13:00:00,471.7,474.15,471.3,472.6,478007
16,2022-07-11 13:15:00,472.6,473.55,470.7,472.25,504849
17,2022-07-11 13:30:00,472.25,472.9,471.7,472.5,522382
18,2022-07-11 13:45:00,472.5,472.65,470.85,471.0,534940
19,2022-07-11 14:00:00,471.0,471.6,470.35,471.55,548082
20,2022-07-11 14:15:00,471.55,472.7,471.45,472.2,566044
21,2022-07-11 14:30:00,472.35,472.75,470.55,471.6,582652
22,2022-07-11 14:45:00,471.6,472.3,470.6,471.7,609937
23,2022-07-11 15:00:00,471.7,472.6,470.75,471.65,646803
24,2022-07-11 15:15:00,471.65,472.9,471.25,472.35,705773
25,2022-07-11 15:30:00,471.85,471.85,471.85,471.85,705833
26,2022-07-12 09:15:00,472.4,472.4,465.7,467.05,66797
27,2022-07-12 09:30:00,467.05,468.35,466.55,467.5,102874
28,2022-07-12 09:45:00,467.45,467.95,466.7,466.85,122652
29,2022-07-12 10:00:00,466.85,468.0,466.85,467.55,140605
30,2022-07-12 10:15:00,467.55,469.25,467.3,468.95,157521
31,2022-07-12 10:30:00,468.95,469.55,468.15,468.45,175656
32,2022-07-12 10:45:00,468.45,468.45,467.95,468.35,183954
