,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2482.65,2482.65,2441.3,2446.8,4150
1,2022-07-25 09:30:00,2443.6,2444.45,2432.05,2436.0,10065
2,2022-07-25 09:45:00,2436.0,2437.9,2424.0,2427.5,11909
3,2022-07-25 10:00:00,2427.5,2428.45,2405.35,2427.4,17223
4,2022-07-25 10:15:00,2427.4,2429.0,2418.8,2418.8,19186
5,2022-07-25 10:30:00,2418.8,2428.0,2418.8,2427.55,20071
6,2022-07-25 10:45:00,2427.55,2434.2,2423.5,2432.3,20941
7,2022-07-25 11:00:00,2432.3,2434.2,2424.4,2428.0,22015
8,2022-07-25 11:15:00,2428.0,2429.35,2425.75,2428.05,22408
9,2022-07-25 11:30:00,2428.05,2429.35,2423.45,2426.6,22739
10,2022-07-25 11:45:00,2426.65,2434.95,2426.65,2432.8,23235
11,2022-07-25 12:00:00,2432.8,2441.15,2432.25,2438.35,23915
12,2022-07-25 12:15:00,2440.3,2446.2,2434.0,2436.05,24902
13,2022-07-25 12:30:00,2436.05,2442.55,2435.6,2442.1,25435
14,2022-07-25 12:45:00,2442.1,2446.05,2437.7,2440.7,25642
15,2022-07-25 13:00:00,2440.7,2446.55,2440.0,2444.6,25993
16,2022-07-25 13:15:00,2444.6,2447.5,2439.0,2442.1,26892
17,2022-07-25 13:30:00,2442.1,2442.1,2428.0,2429.9,27691
18,2022-07-25 13:45:00,2428.0,2436.0,2428.0,2434.7,28362
19,2022-07-25 14:00:00,2435.45,2445.35,2435.45,2442.65,28754
20,2022-07-25 14:15:00,2442.65,2444.9,2440.6,2441.3,29347
21,2022-07-25 14:30:00,2441.0,2442.35,2438.0,2440.95,30042
22,2022-07-25 14:45:00,2440.95,2440.95,2437.1,2440.0,30805
23,2022-07-25 15:00:00,2440.0,2440.25,2424.0,2424.05,32105
24,2022-07-25 15:15:00,2424.05,2429.5,2418.0,2418.0,34941
25,2022-07-25 15:30:00,2418.0,2427.85,2418.0,2427.85,36683
