,Date,o,h,l,c,v
0,2022-07-11 09:15:00,367.95,368.4,367.1,367.7,100533
1,2022-07-11 09:30:00,367.7,368.65,367.5,368.55,159626
2,2022-07-11 09:45:00,368.55,368.95,368.25,368.5,200066
3,2022-07-11 10:00:00,368.5,368.8,368.5,368.5,228602
4,2022-07-11 10:15:00,368.5,368.9,368.5,368.85,241325
5,2022-07-11 10:30:00,368.85,369.2,366.9,367.85,1265573
6,2022-07-11 10:45:00,367.85,369.15,367.75,368.5,1971817
7,2022-07-11 11:00:00,368.45,368.8,368.25,368.7,1993644
8,2022-07-11 11:15:00,368.7,368.95,368.55,368.8,2011473
9,2022-07-11 11:30:00,368.8,369.3,368.8,369.05,2052830
10,2022-07-11 11:45:00,369.05,369.25,369.0,369.05,2076704
11,2022-07-11 12:00:00,369.05,369.3,368.6,368.75,2114645
12,2022-07-11 12:15:00,368.75,368.9,368.55,368.7,2136021
13,2022-07-11 12:30:00,368.75,368.8,368.45,368.6,2230099
14,2022-07-11 12:45:00,368.5,368.6,368.45,368.5,2321416
15,2022-07-11 13:00:00,368.5,368.5,368.45,368.45,2390741
16,2022-07-11 13:15:00,368.45,368.75,368.45,368.5,2477592
17,2022-07-11 13:30:00,368.5,368.95,368.45,368.65,2504997
18,2022-07-11 13:45:00,368.65,368.9,368.55,368.55,2541080
19,2022-07-11 14:00:00,368.55,369.1,368.55,368.85,2587780
20,2022-07-11 14:15:00,368.85,369.75,368.85,369.6,2660862
21,2022-07-11 14:30:00,369.6,369.95,369.6,369.9,2744282
22,2022-07-11 14:45:00,369.7,369.85,369.2,369.25,2841050
23,2022-07-11 15:00:00,369.4,369.6,369.0,369.1,2944939
24,2022-07-11 15:15:00,369.15,369.35,369.0,369.2,3135085
25,2022-07-11 15:30:00,369.2,369.2,369.2,369.2,3135285
26,2022-07-12 09:15:00,368.8,368.85,367.8,368.2,62960
27,2022-07-12 09:30:00,368.2,368.7,368.05,368.55,114937
28,2022-07-12 09:45:00,368.5,370.55,368.4,369.65,249138
29,2022-07-12 10:00:00,369.65,370.0,369.25,369.3,336631
30,2022-07-12 10:15:00,369.3,369.35,368.75,368.9,361423
31,2022-07-12 10:30:00,368.9,369.25,368.8,369.1,378308
32,2022-07-12 10:45:00,369.1,369.2,368.95,369.2,391992
