,Date,o,h,l,c,v
0,2022-07-25 09:15:00,908.05,924.85,908.05,922.0,9845
1,2022-07-25 09:30:00,922.0,928.15,918.35,925.0,28158
2,2022-07-25 09:45:00,925.05,927.0,921.75,925.3,45336
3,2022-07-25 10:00:00,925.3,927.0,923.45,927.0,51900
4,2022-07-25 10:15:00,927.0,933.0,925.8,930.35,62851
5,2022-07-25 10:30:00,930.6,937.05,925.0,926.95,82998
6,2022-07-25 10:45:00,927.0,927.65,923.5,926.2,117109
7,2022-07-25 11:00:00,926.2,926.95,922.0,922.0,124797
8,2022-07-25 11:15:00,922.0,923.7,917.45,920.25,136127
9,2022-07-25 11:30:00,920.0,922.45,920.0,921.7,143641
10,2022-07-25 11:45:00,921.7,925.1,920.85,924.75,147650
11,2022-07-25 12:00:00,924.3,924.7,922.0,923.65,152393
12,2022-07-25 12:15:00,923.65,926.0,923.2,925.65,155258
13,2022-07-25 12:30:00,925.65,930.0,924.55,927.25,158331
14,2022-07-25 12:45:00,927.25,927.6,921.15,923.4,164133
15,2022-07-25 13:00:00,923.4,925.0,922.65,925.0,170136
16,2022-07-25 13:15:00,923.45,925.0,923.05,924.0,173545
17,2022-07-25 13:30:00,923.45,924.8,922.55,923.75,176536
18,2022-07-25 13:45:00,923.75,925.0,922.65,925.0,179533
19,2022-07-25 14:00:00,925.0,930.0,922.0,929.5,194403
20,2022-07-25 14:15:00,929.5,930.0,927.05,929.85,216697
21,2022-07-25 14:30:00,929.85,930.0,928.85,930.0,232368
22,2022-07-25 14:45:00,930.0,930.0,926.6,929.85,244660
23,2022-07-25 15:00:00,929.85,929.95,925.95,926.6,258856
24,2022-07-25 15:15:00,926.6,929.95,926.6,928.2,282413
25,2022-07-25 15:30:00,927.6,927.6,927.5,927.5,291775
