,Date,o,h,l,c,v
0,2022-07-11 09:15:00,733.6,735.25,728.3,729.0,2266
1,2022-07-11 09:30:00,729.25,729.45,726.3,729.4,6204
2,2022-07-11 09:45:00,729.4,732.25,728.1,731.95,8303
3,2022-07-11 10:00:00,732.0,735.8,731.7,735.35,12153
4,2022-07-11 10:15:00,734.35,734.35,728.0,728.65,14581
5,2022-07-11 10:30:00,728.65,733.4,728.65,733.3,16688
6,2022-07-11 10:45:00,733.3,736.0,732.15,735.95,18129
7,2022-07-11 11:00:00,735.95,735.95,734.25,735.65,18384
8,2022-07-11 11:15:00,735.65,738.85,734.85,738.65,21770
9,2022-07-11 11:30:00,738.6,741.45,737.6,737.6,24392
10,2022-07-11 11:45:00,737.6,737.6,735.55,736.05,25065
11,2022-07-11 12:00:00,736.05,737.55,735.55,737.55,25765
12,2022-07-11 12:15:00,737.55,743.6,736.7,743.5,28033
13,2022-07-11 12:30:00,743.5,743.5,738.4,738.4,28405
14,2022-07-11 12:45:00,738.4,738.95,738.4,738.75,28736
15,2022-07-11 13:00:00,740.0,742.95,739.8,742.95,31450
16,2022-07-11 13:15:00,742.95,745.0,741.85,743.6,33079
17,2022-07-11 13:30:00,743.6,743.6,739.9,739.9,33620
18,2022-07-11 13:45:00,739.9,739.9,735.2,735.2,35802
19,2022-07-11 14:00:00,735.2,735.7,734.5,734.8,37817
20,2022-07-11 14:15:00,734.8,734.8,733.0,733.4,39988
21,2022-07-11 14:30:00,733.4,736.15,732.95,736.15,41384
22,2022-07-11 14:45:00,736.15,738.0,736.0,738.0,42244
23,2022-07-11 15:00:00,738.0,738.0,735.1,735.4,44402
24,2022-07-11 15:15:00,735.4,735.9,732.1,735.9,48702
25,2022-07-11 15:30:00,734.0,734.0,734.0,734.0,48702
26,2022-07-12 09:15:00,734.0,734.25,726.85,727.85,1581
27,2022-07-12 09:30:00,727.85,731.85,727.2,729.45,4747
28,2022-07-12 09:45:00,729.45,731.9,728.6,730.5,8312
29,2022-07-12 10:00:00,730.5,732.0,730.05,731.7,9808
30,2022-07-12 10:15:00,731.7,731.7,729.75,729.75,11191
31,2022-07-12 10:30:00,729.75,729.75,729.1,729.75,12158
32,2022-07-12 10:45:00,729.75,729.8,729.3,729.75,13032
