,Date,o,h,l,c,v
0,2022-07-11 09:15:00,274.05,277.95,269.9,275.0,15076
1,2022-07-11 09:30:00,275.0,275.2,274.2,275.2,16578
2,2022-07-11 09:45:00,275.0,275.65,273.4,274.35,19283
3,2022-07-11 10:00:00,274.15,274.2,272.5,273.05,22426
4,2022-07-11 10:15:00,273.2,274.1,273.15,273.85,23970
5,2022-07-11 10:30:00,274.0,274.7,273.05,273.7,27663
6,2022-07-11 10:45:00,273.5,274.65,273.35,274.1,31064
7,2022-07-11 11:00:00,274.1,274.1,273.25,273.25,32248
8,2022-07-11 11:15:00,273.35,274.55,273.25,273.35,34408
9,2022-07-11 11:30:00,273.35,274.3,273.35,273.7,34898
10,2022-07-11 11:45:00,273.95,273.95,273.3,273.5,35657
11,2022-07-11 12:00:00,273.5,273.7,273.3,273.5,36284
12,2022-07-11 12:15:00,273.35,273.7,273.1,273.2,37072
13,2022-07-11 12:30:00,273.2,273.5,271.35,271.35,42649
14,2022-07-11 12:45:00,271.35,272.75,271.15,272.75,44443
15,2022-07-11 13:00:00,272.55,272.75,272.15,272.6,45065
16,2022-07-11 13:15:00,272.6,273.2,272.5,272.6,45532
17,2022-07-11 13:30:00,272.65,273.4,272.3,273.2,46532
18,2022-07-11 13:45:00,273.2,273.9,273.0,273.25,47317
19,2022-07-11 14:00:00,273.05,273.8,273.0,273.35,48498
20,2022-07-11 14:15:00,273.35,274.2,273.15,274.2,49212
21,2022-07-11 14:30:00,274.2,274.7,274.0,274.45,49841
22,2022-07-11 14:45:00,274.5,275.7,274.0,275.65,53008
23,2022-07-11 15:00:00,275.65,276.6,275.0,275.75,57283
24,2022-07-11 15:15:00,275.8,276.05,273.75,274.9,63701
25,2022-07-11 15:30:00,275.2,275.2,275.2,275.2,63702
26,2022-07-12 09:15:00,277.95,277.95,275.35,276.4,2310
27,2022-07-12 09:30:00,276.7,276.7,276.15,276.5,5601
28,2022-07-12 09:45:00,276.5,277.0,275.65,276.65,6640
29,2022-07-12 10:00:00,276.3,276.65,275.55,275.9,8651
30,2022-07-12 10:15:00,275.9,275.9,275.2,275.4,9866
31,2022-07-12 10:30:00,275.25,275.45,274.05,274.55,11747
32,2022-07-12 10:45:00,274.9,274.9,274.25,274.25,13265
