,Date,o,h,l,c,v
0,2022-07-25 09:15:00,589.0,599.9,586.05,594.45,45421
1,2022-07-25 09:30:00,594.45,597.0,592.05,595.05,91882
2,2022-07-25 09:45:00,595.8,595.9,591.5,595.0,112812
3,2022-07-25 10:00:00,595.0,595.0,592.5,594.55,125282
4,2022-07-25 10:15:00,594.55,594.9,593.5,593.75,133182
5,2022-07-25 10:30:00,593.75,594.9,592.05,592.05,143188
6,2022-07-25 10:45:00,592.05,594.65,591.5,594.2,157753
7,2022-07-25 11:00:00,594.25,594.7,589.1,589.1,161233
8,2022-07-25 11:15:00,589.1,592.95,587.0,592.9,180273
9,2022-07-25 11:30:00,592.9,593.45,591.5,591.8,185734
10,2022-07-25 11:45:00,591.8,594.5,591.5,594.1,191013
11,2022-07-25 12:00:00,594.4,595.05,592.1,593.4,205652
12,2022-07-25 12:15:00,593.4,597.5,593.35,595.4,221814
13,2022-07-25 12:30:00,595.4,596.45,593.85,596.2,232229
14,2022-07-25 12:45:00,596.75,599.0,594.5,598.75,241014
15,2022-07-25 13:00:00,598.75,600.0,596.8,598.5,289529
16,2022-07-25 13:15:00,598.5,600.0,598.45,599.5,322916
17,2022-07-25 13:30:00,599.5,600.0,598.35,600.0,341542
18,2022-07-25 13:45:00,600.0,600.0,597.0,597.0,348736
19,2022-07-25 14:00:00,597.0,599.8,597.0,598.75,357518
20,2022-07-25 14:15:00,598.75,600.0,598.5,600.0,370109
21,2022-07-25 14:30:00,600.0,600.0,598.35,599.95,387673
22,2022-07-25 14:45:00,599.95,600.0,593.8,595.4,398294
23,2022-07-25 15:00:00,595.4,595.9,591.0,591.2,414424
24,2022-07-25 15:15:00,591.2,595.0,591.0,593.0,443560
25,2022-07-25 15:30:00,593.4,593.4,593.4,593.4,452356
