,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3071.95,3074.85,3056.2,3060.0,41117
1,2022-07-25 09:30:00,3059.8,3079.0,3051.85,3078.0,87421
2,2022-07-25 09:45:00,3078.0,3082.0,3069.0,3077.1,141270
3,2022-07-25 10:00:00,3077.1,3081.0,3071.0,3074.5,169619
4,2022-07-25 10:15:00,3075.0,3081.0,3072.0,3075.45,194264
5,2022-07-25 10:30:00,3075.45,3077.55,3071.0,3072.4,211163
6,2022-07-25 10:45:00,3072.4,3082.0,3066.65,3076.5,240827
7,2022-07-25 11:00:00,3076.5,3079.9,3073.25,3073.8,259572
8,2022-07-25 11:15:00,3073.85,3078.0,3070.8,3076.1,276779
9,2022-07-25 11:30:00,3076.0,3086.5,3076.0,3086.5,298219
10,2022-07-25 11:45:00,3086.5,3100.0,3085.45,3094.75,355927
11,2022-07-25 12:00:00,3095.9,3103.0,3090.1,3093.75,415994
12,2022-07-25 12:15:00,3093.75,3099.0,3093.05,3096.85,455490
13,2022-07-25 12:30:00,3096.85,3096.85,3084.05,3088.0,482889
14,2022-07-25 12:45:00,3088.15,3089.4,3079.2,3081.0,508098
15,2022-07-25 13:00:00,3081.0,3089.55,3075.75,3087.55,532628
16,2022-07-25 13:15:00,3087.55,3088.8,3084.0,3084.4,549817
17,2022-07-25 13:30:00,3084.4,3086.2,3078.5,3081.35,578056
18,2022-07-25 13:45:00,3081.35,3086.0,3080.0,3086.0,604516
19,2022-07-25 14:00:00,3086.0,3104.0,3085.35,3103.15,643159
20,2022-07-25 14:15:00,3103.15,3116.85,3101.65,3109.75,708581
21,2022-07-25 14:30:00,3109.7,3110.25,3090.3,3102.3,758144
22,2022-07-25 14:45:00,3102.3,3104.9,3092.3,3097.4,793537
23,2022-07-25 15:00:00,3098.0,3111.5,3094.0,3106.0,845888
24,2022-07-25 15:15:00,3106.55,3108.3,3101.0,3108.0,948607
25,2022-07-25 15:30:00,3104.95,3104.95,3104.95,3104.95,985837
