,Date,o,h,l,c,v
0,2022-07-11 09:15:00,185.8,187.9,185.8,186.75,15025
1,2022-07-11 09:30:00,186.75,188.5,186.2,188.2,39714
2,2022-07-11 09:45:00,188.25,189.6,188.2,188.8,61716
3,2022-07-11 10:00:00,188.8,189.4,188.6,188.75,66978
4,2022-07-11 10:15:00,188.75,189.25,188.45,189.2,71531
5,2022-07-11 10:30:00,189.2,189.5,189.05,189.4,76677
6,2022-07-11 10:45:00,189.4,189.5,189.0,189.15,81889
7,2022-07-11 11:00:00,189.15,189.45,189.1,189.4,83363
8,2022-07-11 11:15:00,189.4,189.5,189.1,189.3,90444
9,2022-07-11 11:30:00,189.1,189.5,189.1,189.15,94663
10,2022-07-11 11:45:00,189.35,189.7,189.1,189.15,100860
11,2022-07-11 12:00:00,189.15,189.65,189.15,189.5,102691
12,2022-07-11 12:15:00,189.5,189.7,189.1,189.2,110961
13,2022-07-11 12:30:00,189.2,189.6,189.1,189.3,115939
14,2022-07-11 12:45:00,189.3,189.6,189.15,189.45,118844
15,2022-07-11 13:00:00,189.45,190.75,189.2,190.15,132924
16,2022-07-11 13:15:00,190.15,190.45,189.9,190.2,136483
17,2022-07-11 13:30:00,190.2,193.0,190.2,192.5,178106
18,2022-07-11 13:45:00,192.6,192.6,191.5,192.1,188824
19,2022-07-11 14:00:00,192.1,192.9,191.7,192.05,201004
20,2022-07-11 14:15:00,192.25,192.25,190.85,190.9,206868
21,2022-07-11 14:30:00,190.9,191.55,190.85,191.1,211595
22,2022-07-11 14:45:00,191.2,192.9,191.1,192.75,225718
23,2022-07-11 15:00:00,192.75,192.8,191.1,191.3,238300
24,2022-07-11 15:15:00,191.75,193.0,190.15,191.3,267640
25,2022-07-11 15:30:00,191.3,191.7,191.3,191.7,267722
26,2022-07-12 09:15:00,189.9,192.3,189.3,192.3,20850
27,2022-07-12 09:30:00,192.5,193.4,191.3,192.2,53505
28,2022-07-12 09:45:00,192.2,193.35,192.2,193.3,64171
29,2022-07-12 10:00:00,193.3,194.55,193.0,193.35,77659
30,2022-07-12 10:15:00,193.4,193.85,192.9,193.45,91382
31,2022-07-12 10:30:00,193.45,193.7,193.05,193.4,99013
32,2022-07-12 10:45:00,193.4,193.5,193.0,193.35,105808
