,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1762.95,1762.95,1731.1,1731.1,17328
1,2022-07-25 09:30:00,1730.5,1731.3,1713.2,1722.0,49020
2,2022-07-25 09:45:00,1722.0,1734.3,1720.0,1734.25,68274
3,2022-07-25 10:00:00,1734.25,1745.0,1729.7,1744.4,90721
4,2022-07-25 10:15:00,1742.4,1744.0,1736.3,1737.0,98612
5,2022-07-25 10:30:00,1737.0,1743.95,1737.0,1743.0,101544
6,2022-07-25 10:45:00,1743.0,1744.2,1737.0,1739.55,104857
7,2022-07-25 11:00:00,1739.55,1743.3,1730.0,1730.0,108562
8,2022-07-25 11:15:00,1730.0,1738.95,1730.0,1736.15,112447
9,2022-07-25 11:30:00,1736.15,1741.95,1733.7,1735.55,115774
10,2022-07-25 11:45:00,1736.7,1741.95,1735.85,1739.0,120499
11,2022-07-25 12:00:00,1739.0,1740.95,1735.0,1739.25,123895
12,2022-07-25 12:15:00,1738.1,1743.4,1738.0,1741.0,126605
13,2022-07-25 12:30:00,1742.05,1742.9,1738.15,1741.05,130894
14,2022-07-25 12:45:00,1741.05,1742.0,1739.1,1742.0,134060
15,2022-07-25 13:00:00,1742.0,1742.55,1739.5,1742.5,136523
16,2022-07-25 13:15:00,1742.5,1745.0,1741.05,1742.1,140471
17,2022-07-25 13:30:00,1742.1,1746.95,1740.75,1743.65,145046
18,2022-07-25 13:45:00,1743.65,1751.8,1743.65,1750.45,148454
19,2022-07-25 14:00:00,1750.45,1755.0,1747.75,1748.75,157275
20,2022-07-25 14:15:00,1748.75,1754.0,1747.75,1753.05,163633
21,2022-07-25 14:30:00,1753.05,1763.65,1752.95,1762.0,168629
22,2022-07-25 14:45:00,1762.05,1763.55,1756.7,1761.25,179446
23,2022-07-25 15:00:00,1761.25,1767.1,1757.2,1758.2,192755
24,2022-07-25 15:15:00,1758.2,1759.0,1750.0,1754.0,210461
25,2022-07-25 15:30:00,1759.75,1759.75,1759.75,1759.75,216063
