,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2980.3,2990.05,2966.2,2987.95,737
1,2022-07-11 09:30:00,2987.95,2992.0,2941.45,2950.0,2031
2,2022-07-11 09:45:00,2950.0,2965.05,2930.0,2965.05,2450
3,2022-07-11 10:00:00,2965.05,2980.1,2956.65,2974.2,3083
4,2022-07-11 10:15:00,2974.2,2981.7,2964.85,2968.1,3236
5,2022-07-11 10:30:00,2968.1,2968.15,2957.0,2957.0,3396
6,2022-07-11 10:45:00,2957.0,2977.95,2955.15,2977.95,3581
7,2022-07-11 11:00:00,2977.95,2977.95,2962.05,2962.05,3609
8,2022-07-11 11:15:00,2962.05,2972.4,2962.05,2965.05,3639
9,2022-07-11 11:30:00,2965.05,2967.7,2965.0,2965.0,3690
10,2022-07-11 11:45:00,2965.0,2975.0,2965.0,2975.0,3931
11,2022-07-11 12:00:00,2975.0,2977.55,2956.2,2974.75,4319
12,2022-07-11 12:15:00,2974.75,2978.2,2970.0,2973.45,4379
13,2022-07-11 12:30:00,2973.45,2973.45,2953.15,2953.15,4472
14,2022-07-11 12:45:00,2952.05,2953.65,2947.5,2953.65,4533
15,2022-07-11 13:00:00,2953.65,2957.0,2953.1,2953.1,4600
16,2022-07-11 13:15:00,2953.1,2953.1,2945.0,2945.0,4633
17,2022-07-11 13:30:00,2945.0,2945.0,2934.95,2940.95,4764
18,2022-07-11 13:45:00,2940.95,2969.55,2940.95,2946.45,5016
19,2022-07-11 14:00:00,2946.45,2967.95,2946.45,2967.95,5064
20,2022-07-11 14:15:00,2967.95,2967.95,2959.85,2959.85,5120
21,2022-07-11 14:30:00,2959.85,2960.0,2946.0,2950.0,5422
22,2022-07-11 14:45:00,2950.0,2950.0,2942.55,2945.0,5949
23,2022-07-11 15:00:00,2945.0,2998.0,2945.0,2980.0,11821
24,2022-07-11 15:15:00,2980.0,2999.0,2967.0,2975.0,12483
25,2022-07-11 15:30:00,2975.0,2975.0,2961.8,2961.8,12483
26,2022-07-12 09:15:00,2974.5,2985.45,2950.0,2975.0,410
27,2022-07-12 09:30:00,2975.0,2980.2,2964.7,2964.7,786
28,2022-07-12 09:45:00,2964.7,2982.0,2959.8,2975.95,1608
29,2022-07-12 10:00:00,2975.95,3069.0,2975.3,3058.35,3499
30,2022-07-12 10:15:00,3058.35,3100.05,3050.0,3087.6,11951
31,2022-07-12 10:30:00,3087.6,3130.0,3085.0,3112.15,18000
32,2022-07-12 10:45:00,3112.0,3116.0,3102.05,3109.95,24798
