,Date,o,h,l,c,v
0,2022-07-25 09:15:00,580.15,582.0,574.6,576.7,88797
1,2022-07-25 09:30:00,576.75,579.4,574.55,574.55,176566
2,2022-07-25 09:45:00,574.65,577.9,572.3,574.2,258454
3,2022-07-25 10:00:00,574.05,574.5,571.7,573.6,320736
4,2022-07-25 10:15:00,573.7,574.0,572.0,572.2,360099
5,2022-07-25 10:30:00,572.15,573.0,570.55,573.0,400013
6,2022-07-25 10:45:00,573.0,573.35,572.2,572.7,419538
7,2022-07-25 11:00:00,572.75,572.75,570.1,570.9,439449
8,2022-07-25 11:15:00,570.9,572.75,570.4,572.15,462846
9,2022-07-25 11:30:00,572.15,573.35,571.5,572.35,485879
10,2022-07-25 11:45:00,572.35,573.2,571.9,572.5,502396
11,2022-07-25 12:00:00,572.1,573.0,571.5,572.35,512440
12,2022-07-25 12:15:00,572.35,574.25,572.35,573.05,526342
13,2022-07-25 12:30:00,573.1,574.95,572.65,574.35,547662
14,2022-07-25 12:45:00,574.35,575.3,572.2,573.4,570994
15,2022-07-25 13:00:00,573.4,575.65,572.7,575.65,589787
16,2022-07-25 13:15:00,575.0,575.65,574.0,575.25,633556
17,2022-07-25 13:30:00,575.25,575.4,574.5,575.05,653544
18,2022-07-25 13:45:00,575.0,576.0,574.5,575.0,677047
19,2022-07-25 14:00:00,575.2,578.25,574.65,577.75,711057
20,2022-07-25 14:15:00,577.85,583.65,577.85,583.65,811772
21,2022-07-25 14:30:00,583.65,584.7,582.3,584.2,876084
22,2022-07-25 14:45:00,584.2,584.9,582.6,583.15,915557
23,2022-07-25 15:00:00,583.15,583.9,582.0,582.7,955355
24,2022-07-25 15:15:00,582.7,583.1,577.2,580.4,1042271
25,2022-07-25 15:30:00,581.7,581.7,581.7,581.7,1098368
