,Date,o,h,l,c,v
0,2022-07-11 09:15:00,430.0,433.2,430.0,431.8,6759
1,2022-07-11 09:30:00,431.8,433.9,431.8,432.95,8972
2,2022-07-11 09:45:00,432.95,432.95,432.05,432.55,10147
3,2022-07-11 10:00:00,432.55,432.9,432.05,432.9,11534
4,2022-07-11 10:15:00,432.9,437.3,432.9,437.3,18243
5,2022-07-11 10:30:00,437.3,437.3,436.0,436.85,20319
6,2022-07-11 10:45:00,437.0,437.7,435.65,436.0,22585
7,2022-07-11 11:00:00,436.75,436.75,433.0,435.2,25250
8,2022-07-11 11:15:00,435.2,437.75,434.8,437.2,32048
9,2022-07-11 11:30:00,437.2,448.8,437.2,448.7,94113
10,2022-07-11 11:45:00,447.5,449.0,445.05,446.45,133623
11,2022-07-11 12:00:00,446.45,448.0,445.25,445.6,146952
12,2022-07-11 12:15:00,446.0,446.4,444.0,444.45,154567
13,2022-07-11 12:30:00,444.45,444.8,442.65,443.75,159828
14,2022-07-11 12:45:00,443.75,444.9,442.65,443.2,164887
15,2022-07-11 13:00:00,443.2,444.9,443.2,444.9,167509
16,2022-07-11 13:15:00,444.9,444.9,441.35,443.05,171901
17,2022-07-11 13:30:00,442.2,444.6,442.2,443.5,173937
18,2022-07-11 13:45:00,443.5,447.55,443.5,443.5,185433
19,2022-07-11 14:00:00,443.5,446.9,443.5,446.9,190739
20,2022-07-11 14:15:00,446.9,451.75,446.15,447.6,226312
21,2022-07-11 14:30:00,447.6,450.0,447.5,449.05,239143
22,2022-07-11 14:45:00,449.0,449.95,446.25,446.5,251291
23,2022-07-11 15:00:00,446.5,447.5,445.0,445.5,264618
24,2022-07-11 15:15:00,445.5,450.0,444.0,449.8,291632
25,2022-07-11 15:30:00,446.9,446.9,446.9,446.9,291656
26,2022-07-12 09:15:00,448.0,454.7,447.15,454.4,11412
27,2022-07-12 09:30:00,454.4,456.3,450.9,451.45,38772
28,2022-07-12 09:45:00,450.9,456.9,450.0,456.15,53025
29,2022-07-12 10:00:00,456.35,458.0,454.5,457.8,86455
30,2022-07-12 10:15:00,457.8,459.7,456.5,456.8,116816
31,2022-07-12 10:30:00,456.8,457.25,455.6,457.25,129641
32,2022-07-12 10:45:00,457.25,458.0,457.0,457.0,135636
