,Date,o,h,l,c,v
0,2022-07-25 09:15:00,732.05,738.8,731.95,738.65,454669
1,2022-07-25 09:30:00,738.5,738.5,735.45,736.3,1040431
2,2022-07-25 09:45:00,736.3,736.3,731.2,732.1,1376333
3,2022-07-25 10:00:00,732.1,732.45,725.0,726.55,1729916
4,2022-07-25 10:15:00,726.3,729.6,726.05,727.55,2036733
5,2022-07-25 10:30:00,727.35,728.9,726.8,728.2,2210982
6,2022-07-25 10:45:00,728.2,728.2,726.7,727.75,2320898
7,2022-07-25 11:00:00,727.75,727.8,722.55,722.55,2484072
8,2022-07-25 11:15:00,722.55,725.9,722.5,725.25,2635711
9,2022-07-25 11:30:00,725.2,725.7,724.2,725.0,2871012
10,2022-07-25 11:45:00,724.9,726.35,724.55,725.0,3067525
11,2022-07-25 12:00:00,724.5,726.4,724.5,725.7,3204217
12,2022-07-25 12:15:00,725.85,727.9,725.65,727.45,3296504
13,2022-07-25 12:30:00,727.45,727.5,724.6,725.45,3435184
14,2022-07-25 12:45:00,725.3,727.0,724.85,726.75,3531629
15,2022-07-25 13:00:00,726.85,728.5,726.25,727.9,3616888
16,2022-07-25 13:15:00,728.0,729.8,728.0,729.45,3764730
17,2022-07-25 13:30:00,729.45,729.45,726.8,727.15,3910041
18,2022-07-25 13:45:00,727.05,728.5,727.0,727.95,4027190
19,2022-07-25 14:00:00,727.95,733.5,727.4,733.3,4191587
20,2022-07-25 14:15:00,733.1,734.0,732.25,733.7,4466801
21,2022-07-25 14:30:00,733.8,734.5,731.75,732.6,4673707
22,2022-07-25 14:45:00,732.65,732.8,730.85,731.7,4891163
23,2022-07-25 15:00:00,731.8,731.8,726.8,727.0,5277249
24,2022-07-25 15:15:00,726.75,729.0,724.75,727.1,5840268
25,2022-07-25 15:30:00,726.65,727.35,726.65,727.35,6229469
