,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3817.85,3844.8,3797.1,3840.0,22244
1,2022-07-11 09:30:00,3841.25,3853.0,3839.3,3850.75,44913
2,2022-07-11 09:45:00,3852.95,3853.0,3837.0,3839.15,54873
3,2022-07-11 10:00:00,3841.85,3850.0,3839.0,3843.25,69590
4,2022-07-11 10:15:00,3843.7,3857.9,3838.0,3850.65,89612
5,2022-07-11 10:30:00,3850.6,3854.85,3840.7,3845.2,99685
6,2022-07-11 10:45:00,3844.2,3850.0,3831.9,3837.2,114806
7,2022-07-11 11:00:00,3837.25,3845.0,3836.05,3838.15,121248
8,2022-07-11 11:15:00,3838.15,3842.0,3834.3,3835.2,127487
9,2022-07-11 11:30:00,3837.35,3843.3,3835.0,3835.0,137682
10,2022-07-11 11:45:00,3834.35,3840.3,3834.35,3836.85,143397
11,2022-07-11 12:00:00,3838.05,3843.8,3834.0,3837.95,155256
12,2022-07-11 12:15:00,3839.65,3839.65,3830.0,3837.0,168243
13,2022-07-11 12:30:00,3835.4,3842.05,3835.0,3835.0,174045
14,2022-07-11 12:45:00,3835.15,3840.95,3835.0,3836.3,177787
15,2022-07-11 13:00:00,3836.3,3839.65,3833.8,3836.05,188223
16,2022-07-11 13:15:00,3836.05,3841.0,3831.0,3831.0,200005
17,2022-07-11 13:30:00,3831.0,3837.2,3826.05,3835.0,223219
18,2022-07-11 13:45:00,3835.0,3838.7,3830.0,3833.35,246155
19,2022-07-11 14:00:00,3833.35,3841.0,3833.35,3835.4,258566
20,2022-07-11 14:15:00,3835.6,3841.0,3835.0,3838.1,270767
21,2022-07-11 14:30:00,3838.1,3840.0,3834.0,3836.55,283952
22,2022-07-11 14:45:00,3836.55,3846.95,3835.0,3840.45,302430
23,2022-07-11 15:00:00,3840.45,3854.85,3838.0,3848.05,338511
24,2022-07-11 15:15:00,3850.0,3853.0,3845.1,3850.0,372242
25,2022-07-11 15:30:00,3848.55,3848.55,3848.55,3848.55,372292
26,2022-07-12 09:15:00,3840.0,3857.05,3836.05,3853.9,23363
27,2022-07-12 09:30:00,3852.4,3862.0,3843.0,3859.2,46242
28,2022-07-12 09:45:00,3858.0,3860.0,3845.75,3848.45,57857
29,2022-07-12 10:00:00,3848.45,3858.95,3845.0,3852.45,65946
30,2022-07-12 10:15:00,3852.45,3856.6,3849.0,3856.2,73455
31,2022-07-12 10:30:00,3856.2,3856.9,3848.0,3850.2,76560
32,2022-07-12 10:45:00,3850.2,3851.6,3846.1,3847.75,81526
