,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1111.35,1121.1,1105.95,1112.8,14677
1,2022-07-11 09:30:00,1113.35,1116.55,1111.05,1116.55,15936
2,2022-07-11 09:45:00,1116.55,1122.0,1116.55,1118.9,18616
3,2022-07-11 10:00:00,1118.9,1135.85,1118.9,1133.0,24246
4,2022-07-11 10:15:00,1133.0,1136.0,1124.2,1128.05,28412
5,2022-07-11 10:30:00,1128.05,1129.0,1121.0,1121.4,34435
6,2022-07-11 10:45:00,1121.5,1127.0,1121.1,1126.95,35721
7,2022-07-11 11:00:00,1126.95,1128.0,1123.15,1125.4,38587
8,2022-07-11 11:15:00,1125.4,1125.75,1123.0,1123.0,39101
9,2022-07-11 11:30:00,1123.0,1124.8,1122.35,1124.8,39867
10,2022-07-11 11:45:00,1124.8,1124.8,1122.15,1122.15,40123
11,2022-07-11 12:00:00,1122.15,1124.65,1122.15,1123.3,41353
12,2022-07-11 12:15:00,1123.3,1123.3,1119.6,1120.85,42236
13,2022-07-11 12:30:00,1120.85,1121.3,1116.8,1116.8,42942
14,2022-07-11 12:45:00,1116.8,1117.95,1115.45,1116.8,43643
15,2022-07-11 13:00:00,1115.4,1115.95,1111.9,1115.0,44725
16,2022-07-11 13:15:00,1115.0,1115.95,1106.0,1106.0,48282
17,2022-07-11 13:30:00,1106.0,1107.35,1096.2,1101.85,51876
18,2022-07-11 13:45:00,1101.85,1101.85,1092.5,1095.8,55087
19,2022-07-11 14:00:00,1095.8,1097.9,1084.0,1085.0,63950
20,2022-07-11 14:15:00,1085.0,1090.0,1083.3,1089.25,67716
21,2022-07-11 14:30:00,1090.0,1094.1,1088.0,1088.4,71663
22,2022-07-11 14:45:00,1088.4,1094.9,1088.05,1093.0,74120
23,2022-07-11 15:00:00,1093.0,1094.7,1087.0,1087.0,78979
24,2022-07-11 15:15:00,1087.0,1101.65,1086.0,1100.0,90953
25,2022-07-11 15:30:00,1095.0,1095.0,1095.0,1095.0,90955
26,2022-07-12 09:15:00,1099.0,1112.7,1091.55,1109.0,11734
27,2022-07-12 09:30:00,1109.0,1114.35,1107.1,1113.75,30700
28,2022-07-12 09:45:00,1113.85,1117.6,1110.0,1111.8,35864
29,2022-07-12 10:00:00,1111.8,1112.35,1103.9,1103.9,42040
30,2022-07-12 10:15:00,1103.9,1103.9,1097.4,1098.65,45843
31,2022-07-12 10:30:00,1098.65,1100.0,1098.0,1098.7,47391
32,2022-07-12 10:45:00,1098.7,1100.0,1098.15,1098.15,48149
