,Date,o,h,l,c,v
0,2022-07-11 09:15:00,11888.05,12044.55,11840.25,12011.0,28480
1,2022-07-11 09:30:00,12011.0,12011.0,11915.0,11931.4,44573
2,2022-07-11 09:45:00,11931.4,11956.9,11891.0,11910.0,52181
3,2022-07-11 10:00:00,11910.0,11985.0,11905.0,11966.0,59115
4,2022-07-11 10:15:00,11962.6,11979.85,11921.9,11974.0,64685
5,2022-07-11 10:30:00,11970.2,11971.0,11941.0,11944.55,68460
6,2022-07-11 10:45:00,11948.4,11951.5,11925.0,11925.0,72749
7,2022-07-11 11:00:00,11925.0,11943.45,11915.0,11933.95,76059
8,2022-07-11 11:15:00,11934.75,11946.0,11915.0,11916.7,79061
9,2022-07-11 11:30:00,11919.5,11933.9,11890.0,11899.95,84307
10,2022-07-11 11:45:00,11899.95,11925.0,11880.0,11912.9,88762
11,2022-07-11 12:00:00,11913.0,11927.0,11910.0,11916.95,90636
12,2022-07-11 12:15:00,11916.95,11917.0,11888.0,11890.5,93992
13,2022-07-11 12:30:00,11890.5,11906.0,11885.0,11891.0,97114
14,2022-07-11 12:45:00,11892.6,11904.0,11890.0,11898.2,98688
15,2022-07-11 13:00:00,11898.2,11910.0,11881.9,11895.9,102538
16,2022-07-11 13:15:00,11895.9,11910.0,11865.6,11872.45,105758
17,2022-07-11 13:30:00,11872.45,11900.0,11857.3,11897.0,109234
18,2022-07-11 13:45:00,11897.0,11925.0,11892.85,11910.0,114507
19,2022-07-11 14:00:00,11910.0,11945.95,11909.2,11938.0,121015
20,2022-07-11 14:15:00,11938.0,11975.0,11931.0,11964.7,129327
21,2022-07-11 14:30:00,11964.7,11975.0,11941.6,11960.0,133729
22,2022-07-11 14:45:00,11962.3,11969.0,11911.0,11926.0,139646
23,2022-07-11 15:00:00,11925.4,11960.0,11922.0,11933.75,147340
24,2022-07-11 15:15:00,11934.95,11957.95,11912.85,11917.0,161367
25,2022-07-11 15:30:00,11938.15,11938.15,11938.15,11938.15,161368
26,2022-07-12 09:15:00,11860.05,11860.05,11765.0,11796.9,16481
27,2022-07-12 09:30:00,11796.9,11796.9,11741.1,11749.2,31085
28,2022-07-12 09:45:00,11748.95,11783.0,11742.0,11755.0,43286
29,2022-07-12 10:00:00,11755.0,11805.35,11751.0,11800.95,50813
30,2022-07-12 10:15:00,11800.0,11850.0,11800.0,11811.45,68077
31,2022-07-12 10:30:00,11817.75,11849.9,11810.0,11828.0,73697
32,2022-07-12 10:45:00,11828.0,11844.75,11813.9,11835.0,79667
