,Date,o,h,l,c,v
0,2022-07-11 09:15:00,4837.95,4931.0,4837.95,4867.85,2674
1,2022-07-11 09:30:00,4867.8,4869.65,4856.8,4865.9,3225
2,2022-07-11 09:45:00,4865.9,4867.0,4843.7,4847.0,3762
3,2022-07-11 10:00:00,4847.0,4848.0,4822.75,4836.95,5263
4,2022-07-11 10:15:00,4836.95,4839.4,4832.25,4835.75,5790
5,2022-07-11 10:30:00,4838.1,4838.1,4819.6,4835.0,6376
6,2022-07-11 10:45:00,4835.0,4837.75,4830.9,4837.7,6781
7,2022-07-11 11:00:00,4837.7,4838.85,4829.15,4835.0,7359
8,2022-07-11 11:15:00,4837.85,4837.9,4831.5,4832.6,7600
9,2022-07-11 11:30:00,4835.95,4840.3,4832.55,4835.0,7951
10,2022-07-11 11:45:00,4835.5,4840.0,4832.5,4837.85,8498
11,2022-07-11 12:00:00,4837.85,4867.0,4834.0,4849.85,9479
12,2022-07-11 12:15:00,4849.35,4861.0,4834.7,4854.4,9959
13,2022-07-11 12:30:00,4854.4,4867.0,4854.3,4863.2,10480
14,2022-07-11 12:45:00,4863.2,4864.95,4857.0,4863.6,10748
15,2022-07-11 13:00:00,4863.6,4867.0,4857.4,4865.25,11285
16,2022-07-11 13:15:00,4865.25,4867.0,4858.35,4862.85,11878
17,2022-07-11 13:30:00,4862.85,4863.95,4859.05,4863.95,12222
18,2022-07-11 13:45:00,4863.95,4867.0,4856.3,4862.9,12845
19,2022-07-11 14:00:00,4862.9,4867.0,4860.05,4864.95,13052
20,2022-07-11 14:15:00,4864.95,4867.0,4861.3,4867.0,13672
21,2022-07-11 14:30:00,4867.0,4893.6,4866.95,4891.45,15450
22,2022-07-11 14:45:00,4888.55,4895.0,4878.95,4893.7,17511
23,2022-07-11 15:00:00,4893.6,4914.0,4886.35,4901.0,18944
24,2022-07-11 15:15:00,4906.4,4911.95,4890.05,4902.0,20528
25,2022-07-11 15:30:00,4904.6,4904.6,4904.6,4904.6,20528
26,2022-07-12 09:15:00,4889.9,4945.0,4879.75,4939.9,1636
27,2022-07-12 09:30:00,4939.95,4939.95,4918.05,4922.9,3028
28,2022-07-12 09:45:00,4922.9,4930.0,4922.8,4930.0,3665
29,2022-07-12 10:00:00,4930.0,4934.8,4923.85,4932.0,4198
30,2022-07-12 10:15:00,4932.0,4935.0,4928.1,4935.0,4395
31,2022-07-12 10:30:00,4931.15,4979.0,4931.15,4955.2,8311
32,2022-07-12 10:45:00,4958.25,4970.0,4958.25,4968.95,9934
