,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3350.0,3415.0,3349.5,3393.65,30712
1,2022-07-25 09:30:00,3393.65,3438.45,3360.45,3423.55,81230
2,2022-07-25 09:45:00,3423.0,3440.0,3405.0,3407.6,127869
3,2022-07-25 10:00:00,3407.2,3414.0,3391.0,3396.5,147256
4,2022-07-25 10:15:00,3392.95,3412.0,3385.65,3406.8,155441
5,2022-07-25 10:30:00,3408.0,3422.0,3402.3,3417.4,161867
6,2022-07-25 10:45:00,3417.4,3426.75,3410.0,3419.8,169795
7,2022-07-25 11:00:00,3419.8,3426.75,3410.0,3415.0,176841
8,2022-07-25 11:15:00,3415.0,3418.75,3411.0,3414.2,181634
9,2022-07-25 11:30:00,3414.2,3414.2,3397.2,3400.85,186585
10,2022-07-25 11:45:00,3400.85,3407.45,3393.9,3406.5,190481
11,2022-07-25 12:00:00,3406.5,3415.0,3402.0,3402.0,193133
12,2022-07-25 12:15:00,3402.85,3403.95,3395.0,3397.0,196594
13,2022-07-25 12:30:00,3397.0,3405.0,3391.05,3402.6,198509
14,2022-07-25 12:45:00,3402.6,3405.0,3392.85,3397.5,200150
15,2022-07-25 13:00:00,3398.0,3403.85,3392.0,3403.15,202302
16,2022-07-25 13:15:00,3403.15,3410.0,3401.25,3404.75,204176
17,2022-07-25 13:30:00,3404.65,3425.95,3404.65,3412.5,209386
18,2022-07-25 13:45:00,3410.6,3416.0,3410.5,3414.8,211899
19,2022-07-25 14:00:00,3415.85,3426.0,3412.85,3419.9,214034
20,2022-07-25 14:15:00,3419.9,3449.55,3416.1,3431.25,220991
21,2022-07-25 14:30:00,3429.55,3435.0,3415.0,3425.0,237740
22,2022-07-25 14:45:00,3425.0,3433.0,3415.2,3417.8,243873
23,2022-07-25 15:00:00,3417.8,3443.9,3417.8,3430.1,253533
24,2022-07-25 15:15:00,3430.15,3443.85,3415.7,3420.0,269638
25,2022-07-25 15:30:00,3420.0,3431.5,3420.0,3431.5,277374
