,Date,o,h,l,c,v
0,2022-07-11 09:15:00,352.95,357.35,351.05,353.25,227112
1,2022-07-11 09:30:00,353.3,355.5,352.7,355.15,324678
2,2022-07-11 09:45:00,355.0,356.75,354.95,355.6,389799
3,2022-07-11 10:00:00,355.35,359.8,354.85,359.1,498514
4,2022-07-11 10:15:00,359.0,360.7,358.1,359.9,625039
5,2022-07-11 10:30:00,359.75,360.4,358.55,360.35,707364
6,2022-07-11 10:45:00,360.4,362.3,360.3,361.5,894587
7,2022-07-11 11:00:00,361.5,362.2,360.45,362.1,992328
8,2022-07-11 11:15:00,362.0,362.35,360.5,361.9,1074718
9,2022-07-11 11:30:00,361.9,363.35,360.6,360.7,1218253
10,2022-07-11 11:45:00,360.7,362.5,360.5,362.3,1268695
11,2022-07-11 12:00:00,362.3,362.9,361.55,361.85,1328536
12,2022-07-11 12:15:00,361.85,361.85,359.05,359.05,1418232
13,2022-07-11 12:30:00,359.3,359.55,358.0,358.0,1527847
14,2022-07-11 12:45:00,358.0,358.95,357.15,357.6,1620765
15,2022-07-11 13:00:00,357.6,359.4,357.6,359.05,1682419
16,2022-07-11 13:15:00,359.05,360.35,358.2,358.55,1762800
17,2022-07-11 13:30:00,358.55,359.65,358.5,358.95,1821290
18,2022-07-11 13:45:00,358.6,359.95,358.6,358.85,1880775
19,2022-07-11 14:00:00,359.1,360.9,358.85,359.45,1970503
20,2022-07-11 14:15:00,359.85,360.4,359.25,360.25,2018197
21,2022-07-11 14:30:00,360.45,360.7,359.25,359.25,2082997
22,2022-07-11 14:45:00,359.25,361.7,358.25,359.2,2198601
23,2022-07-11 15:00:00,359.25,360.4,358.55,360.0,2330358
24,2022-07-11 15:15:00,360.0,360.5,359.35,360.0,2487830
25,2022-07-11 15:30:00,359.8,359.8,359.8,359.8,2487897
26,2022-07-12 09:15:00,358.45,359.55,356.1,357.8,110362
27,2022-07-12 09:30:00,357.8,364.7,357.8,362.85,282191
28,2022-07-12 09:45:00,362.85,365.45,360.8,364.1,567281
29,2022-07-12 10:00:00,364.0,365.4,362.75,364.4,722426
30,2022-07-12 10:15:00,364.4,365.95,364.05,365.6,807183
31,2022-07-12 10:30:00,365.6,365.7,363.7,363.95,887021
32,2022-07-12 10:45:00,363.95,363.95,363.2,363.7,933057
