,Date,o,h,l,c,v
0,2022-07-11 09:15:00,104.8,106.95,104.65,105.9,4382490
1,2022-07-11 09:30:00,105.9,106.6,105.45,106.45,5748304
2,2022-07-11 09:45:00,106.55,107.4,106.4,107.3,7823171
3,2022-07-11 10:00:00,107.25,107.3,106.6,106.9,8849729
4,2022-07-11 10:15:00,106.9,107.05,106.65,107.0,9410624
5,2022-07-11 10:30:00,106.95,107.0,106.6,106.85,9798104
6,2022-07-11 10:45:00,106.85,107.05,106.65,106.8,10970590
7,2022-07-11 11:00:00,106.85,106.9,106.65,106.8,11236827
8,2022-07-11 11:15:00,106.85,106.85,106.6,106.6,11584818
9,2022-07-11 11:30:00,106.65,106.8,106.45,106.5,12147038
10,2022-07-11 11:45:00,106.5,106.55,106.2,106.55,12564115
11,2022-07-11 12:00:00,106.55,107.1,106.5,106.9,13492439
12,2022-07-11 12:15:00,106.95,107.25,106.75,107.1,14470432
13,2022-07-11 12:30:00,107.1,107.8,106.9,107.6,15895854
14,2022-07-11 12:45:00,107.6,109.0,107.55,109.0,18885507
15,2022-07-11 13:00:00,109.0,109.2,108.45,108.95,20459392
16,2022-07-11 13:15:00,109.0,109.25,108.4,108.45,21899800
17,2022-07-11 13:30:00,108.45,108.6,108.3,108.6,22892454
18,2022-07-11 13:45:00,108.6,109.35,108.45,109.05,23985214
19,2022-07-11 14:00:00,109.05,109.6,109.0,109.15,25251355
20,2022-07-11 14:15:00,109.15,109.6,108.85,109.55,26541088
21,2022-07-11 14:30:00,109.55,109.9,109.4,109.6,28275179
22,2022-07-11 14:45:00,109.55,109.75,109.15,109.15,29485598
23,2022-07-11 15:00:00,109.05,109.75,109.0,109.65,31229672
24,2022-07-11 15:15:00,109.65,109.95,109.25,109.3,34201687
25,2022-07-11 15:30:00,109.25,109.55,109.25,109.55,34209489
26,2022-07-12 09:15:00,108.8,109.65,108.15,109.2,1755476
27,2022-07-12 09:30:00,109.15,109.5,109.0,109.2,3491426
28,2022-07-12 09:45:00,109.15,109.5,108.8,108.9,4393675
29,2022-07-12 10:00:00,108.9,109.05,108.7,108.9,5288544
30,2022-07-12 10:15:00,108.9,109.3,108.75,109.0,5783442
31,2022-07-12 10:30:00,109.0,109.1,108.8,109.05,6383030
32,2022-07-12 10:45:00,109.0,109.1,108.9,109.1,7002622
