,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2700.0,2710.0,2665.0,2665.0,1242
1,2022-07-25 09:30:00,2665.0,2669.35,2661.0,2666.45,3327
2,2022-07-25 09:45:00,2666.6,2671.35,2660.0,2660.1,4351
3,2022-07-25 10:00:00,2660.1,2685.1,2655.0,2682.7,5885
4,2022-07-25 10:15:00,2682.7,2685.55,2670.2,2672.4,7134
5,2022-07-25 10:30:00,2672.4,2677.3,2662.15,2663.05,7825
6,2022-07-25 10:45:00,2663.05,2690.05,2663.05,2672.3,8556
7,2022-07-25 11:00:00,2672.3,2675.25,2661.0,2665.85,9922
8,2022-07-25 11:15:00,2665.85,2665.85,2661.0,2662.0,10275
9,2022-07-25 11:30:00,2662.0,2665.75,2661.1,2664.0,10466
10,2022-07-25 11:45:00,2664.0,2665.75,2661.55,2662.45,10545
11,2022-07-25 12:00:00,2662.45,2670.0,2662.45,2664.25,10609
12,2022-07-25 12:15:00,2664.25,2676.7,2664.25,2674.0,10774
13,2022-07-25 12:30:00,2674.0,2674.0,2671.1,2672.0,10912
14,2022-07-25 12:45:00,2672.0,2674.0,2671.0,2674.0,11128
15,2022-07-25 13:00:00,2674.0,2674.0,2671.0,2672.0,11250
16,2022-07-25 13:15:00,2672.0,2672.0,2666.05,2667.0,11457
17,2022-07-25 13:30:00,2667.0,2673.5,2667.0,2670.45,11545
18,2022-07-25 13:45:00,2670.45,2674.6,2667.4,2671.2,11687
19,2022-07-25 14:00:00,2671.2,2676.05,2670.05,2670.25,11845
20,2022-07-25 14:15:00,2670.25,2679.15,2670.25,2675.6,12063
21,2022-07-25 14:30:00,2675.6,2677.0,2669.3,2670.7,12390
22,2022-07-25 14:45:00,2670.7,2675.0,2667.95,2668.3,12726
23,2022-07-25 15:00:00,2668.15,2672.6,2666.0,2667.7,13666
24,2022-07-25 15:15:00,2667.7,2669.9,2656.0,2664.45,15328
25,2022-07-25 15:30:00,2664.3,2664.3,2664.3,2664.3,16799
