,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1785.0,1801.15,1785.0,1800.0,12612
1,2022-07-11 09:30:00,1800.9,1827.0,1798.8,1825.65,68892
2,2022-07-11 09:45:00,1825.65,1830.0,1810.95,1816.55,108858
3,2022-07-11 10:00:00,1816.55,1823.55,1815.0,1822.4,128295
4,2022-07-11 10:15:00,1822.55,1829.45,1820.0,1821.95,152898
5,2022-07-11 10:30:00,1821.9,1822.1,1816.65,1820.95,165391
6,2022-07-11 10:45:00,1820.95,1826.9,1819.4,1820.5,176617
7,2022-07-11 11:00:00,1820.5,1825.25,1818.1,1823.95,187929
8,2022-07-11 11:15:00,1823.95,1826.7,1821.8,1824.5,198396
9,2022-07-11 11:30:00,1824.75,1825.9,1819.0,1819.6,201553
10,2022-07-11 11:45:00,1819.6,1822.6,1819.4,1821.6,204380
11,2022-07-11 12:00:00,1821.2,1831.95,1820.25,1830.05,218401
12,2022-07-11 12:15:00,1830.05,1831.0,1826.05,1827.95,229701
13,2022-07-11 12:30:00,1827.95,1832.0,1822.85,1829.4,241913
14,2022-07-11 12:45:00,1829.4,1831.0,1827.55,1830.0,248358
15,2022-07-11 13:00:00,1830.0,1833.25,1828.5,1831.65,264235
16,2022-07-11 13:15:00,1831.65,1834.2,1828.95,1830.9,273135
17,2022-07-11 13:30:00,1830.9,1832.2,1829.05,1831.0,275237
18,2022-07-11 13:45:00,1831.0,1831.0,1825.25,1828.85,287563
19,2022-07-11 14:00:00,1828.85,1838.75,1827.9,1835.6,297734
20,2022-07-11 14:15:00,1835.6,1837.0,1830.0,1830.0,302503
21,2022-07-11 14:30:00,1830.75,1834.5,1829.05,1831.7,319871
22,2022-07-11 14:45:00,1831.7,1835.0,1829.4,1834.35,326457
23,2022-07-11 15:00:00,1834.35,1839.0,1831.5,1835.45,340559
24,2022-07-11 15:15:00,1835.45,1840.0,1833.7,1839.35,359542
25,2022-07-11 15:30:00,1836.35,1836.35,1836.35,1836.35,359552
26,2022-07-12 09:15:00,1835.0,1850.0,1820.15,1843.2,30102
27,2022-07-12 09:30:00,1844.9,1848.6,1830.4,1832.35,81882
28,2022-07-12 09:45:00,1832.35,1835.3,1826.9,1832.1,100637
29,2022-07-12 10:00:00,1832.1,1838.6,1832.0,1836.1,111456
30,2022-07-12 10:15:00,1836.1,1836.1,1830.4,1831.0,116720
31,2022-07-12 10:30:00,1831.0,1832.4,1830.0,1832.0,121602
32,2022-07-12 10:45:00,1832.0,1833.75,1830.5,1833.55,124486
