,Date,o,h,l,c,v
0,2022-07-11 09:15:00,947.95,959.2,947.95,952.0,2338
1,2022-07-11 09:30:00,952.0,957.45,950.05,956.15,2818
2,2022-07-11 09:45:00,956.15,961.0,954.75,954.75,5290
3,2022-07-11 10:00:00,954.75,958.35,954.75,957.05,5490
4,2022-07-11 10:15:00,957.05,957.55,955.65,956.3,5622
5,2022-07-11 10:30:00,956.3,957.5,956.3,957.4,5661
6,2022-07-11 10:45:00,957.4,957.4,956.3,956.45,5788
7,2022-07-11 11:00:00,956.45,957.75,956.0,957.75,6052
8,2022-07-11 11:15:00,957.75,957.75,956.7,956.7,6171
9,2022-07-11 11:30:00,956.7,956.7,955.25,955.55,6538
10,2022-07-11 11:45:00,955.55,955.95,954.1,955.0,6882
11,2022-07-11 12:00:00,955.0,960.85,954.55,960.45,7435
12,2022-07-11 12:15:00,960.45,960.45,956.8,957.1,7653
13,2022-07-11 12:30:00,957.1,957.1,954.0,955.9,7890
14,2022-07-11 12:45:00,955.9,960.4,955.9,960.4,8243
15,2022-07-11 13:00:00,960.4,960.4,949.9,953.15,10045
16,2022-07-11 13:15:00,953.15,955.1,946.5,950.2,10715
17,2022-07-11 13:30:00,950.2,950.2,942.05,948.1,12185
18,2022-07-11 13:45:00,948.1,950.1,948.1,950.1,12557
19,2022-07-11 14:00:00,950.1,957.4,949.75,954.05,14858
20,2022-07-11 14:15:00,954.05,958.0,953.2,956.3,15573
21,2022-07-11 14:30:00,956.3,956.3,954.45,955.85,16536
22,2022-07-11 14:45:00,955.85,956.1,953.7,954.0,17596
23,2022-07-11 15:00:00,954.85,958.45,954.0,954.2,19723
24,2022-07-11 15:15:00,954.2,957.0,953.45,954.0,21638
25,2022-07-11 15:30:00,956.2,956.2,956.2,956.2,21638
26,2022-07-12 09:15:00,951.55,952.9,944.55,945.0,761
27,2022-07-12 09:30:00,945.0,949.8,944.35,949.65,5148
28,2022-07-12 09:45:00,949.65,949.95,947.0,947.0,7148
29,2022-07-12 10:00:00,947.0,948.0,946.9,946.9,7495
30,2022-07-12 10:15:00,946.9,946.9,943.05,943.2,8902
31,2022-07-12 10:30:00,943.2,947.5,943.1,947.15,10155
32,2022-07-12 10:45:00,947.15,947.15,943.55,944.0,10950
