,Date,o,h,l,c,v
0,2022-07-25 09:15:00,718.95,727.0,716.0,719.6,44345
1,2022-07-25 09:30:00,719.55,722.5,716.05,721.05,92276
2,2022-07-25 09:45:00,721.65,721.65,717.5,719.55,116810
3,2022-07-25 10:00:00,719.55,721.65,717.85,720.15,127520
4,2022-07-25 10:15:00,720.15,720.5,717.6,718.0,136123
5,2022-07-25 10:30:00,718.0,719.7,715.15,715.15,144775
6,2022-07-25 10:45:00,715.15,716.0,714.0,715.35,164929
7,2022-07-25 11:00:00,715.35,715.85,714.5,715.65,177985
8,2022-07-25 11:15:00,715.65,716.5,714.75,715.95,200216
9,2022-07-25 11:30:00,715.95,716.35,714.95,716.0,230410
10,2022-07-25 11:45:00,716.0,716.05,715.0,715.45,250180
11,2022-07-25 12:00:00,715.45,716.15,715.0,715.0,254759
12,2022-07-25 12:15:00,715.0,716.1,713.15,713.9,263491
13,2022-07-25 12:30:00,713.9,715.0,713.15,713.15,275871
14,2022-07-25 12:45:00,713.15,714.95,711.6,714.9,292956
15,2022-07-25 13:00:00,714.95,717.0,714.05,716.8,314261
16,2022-07-25 13:15:00,716.8,717.5,715.85,716.3,319863
17,2022-07-25 13:30:00,716.3,716.5,715.9,716.25,321825
18,2022-07-25 13:45:00,716.25,716.6,715.5,716.3,324033
19,2022-07-25 14:00:00,716.6,717.65,715.55,717.5,327260
20,2022-07-25 14:15:00,717.5,718.25,716.2,718.2,336724
21,2022-07-25 14:30:00,718.2,720.2,717.15,719.85,354544
22,2022-07-25 14:45:00,719.85,720.4,717.05,719.0,366735
23,2022-07-25 15:00:00,719.0,720.85,717.0,718.95,380368
24,2022-07-25 15:15:00,719.0,721.0,716.05,720.0,416576
25,2022-07-25 15:30:00,719.55,719.55,719.55,719.55,448143
