,Date,o,h,l,c,v
0,2022-07-11 09:15:00,235.75,238.4,235.25,236.55,414447
1,2022-07-11 09:30:00,236.5,237.7,236.5,237.45,530801
2,2022-07-11 09:45:00,237.3,237.6,236.95,237.55,630455
3,2022-07-11 10:00:00,237.6,237.6,236.85,236.85,702501
4,2022-07-11 10:15:00,236.95,237.4,236.75,236.9,779517
5,2022-07-11 10:30:00,236.9,236.9,235.8,235.85,878806
6,2022-07-11 10:45:00,235.9,235.95,234.55,234.85,1037970
7,2022-07-11 11:00:00,234.9,235.0,234.35,235.0,1089293
8,2022-07-11 11:15:00,235.0,235.0,234.1,234.5,1188853
9,2022-07-11 11:30:00,234.5,235.0,234.3,234.5,1250669
10,2022-07-11 11:45:00,234.5,234.75,233.8,234.0,1454514
11,2022-07-11 12:00:00,234.0,234.6,233.95,234.0,1671557
12,2022-07-11 12:15:00,234.0,234.6,233.8,234.3,1789907
13,2022-07-11 12:30:00,234.3,234.6,233.95,234.35,1840484
14,2022-07-11 12:45:00,234.35,234.7,234.25,234.45,1897111
15,2022-07-11 13:00:00,234.5,234.9,234.4,234.85,1964873
16,2022-07-11 13:15:00,234.85,235.25,234.7,234.75,2099523
17,2022-07-11 13:30:00,234.8,235.35,234.75,234.95,2198843
18,2022-07-11 13:45:00,234.95,235.1,234.8,234.85,2255796
19,2022-07-11 14:00:00,234.9,235.4,234.8,235.05,2362841
20,2022-07-11 14:15:00,235.05,235.4,234.6,234.9,2625377
21,2022-07-11 14:30:00,234.9,235.15,234.2,234.5,2761910
22,2022-07-11 14:45:00,234.5,234.75,234.2,234.4,2837824
23,2022-07-11 15:00:00,234.5,235.05,234.3,234.6,3044176
24,2022-07-11 15:15:00,234.5,235.0,234.4,234.4,3363330
25,2022-07-11 15:30:00,234.75,234.75,234.75,234.75,3363435
26,2022-07-12 09:15:00,234.4,235.15,233.1,234.6,178356
27,2022-07-12 09:30:00,234.7,235.7,234.5,234.8,387274
28,2022-07-12 09:45:00,234.8,235.4,234.65,235.1,553329
29,2022-07-12 10:00:00,235.1,235.25,234.85,235.2,618885
30,2022-07-12 10:15:00,235.15,236.25,234.85,236.0,1258001
31,2022-07-12 10:30:00,236.0,236.65,235.8,236.05,1438491
32,2022-07-12 10:45:00,236.05,236.5,236.0,236.25,1668429
