,Date,o,h,l,c,v
0,2022-07-11 09:15:00,582.9,585.4,581.05,584.55,50570
1,2022-07-11 09:30:00,584.1,586.95,583.5,586.45,73526
2,2022-07-11 09:45:00,586.8,589.9,586.55,589.9,96298
3,2022-07-11 10:00:00,589.4,589.85,588.05,588.5,110140
4,2022-07-11 10:15:00,588.65,592.9,588.55,592.85,146999
5,2022-07-11 10:30:00,592.75,592.9,591.3,591.7,163625
6,2022-07-11 10:45:00,591.7,592.9,591.0,591.8,180515
7,2022-07-11 11:00:00,591.8,592.15,591.3,592.0,187983
8,2022-07-11 11:15:00,592.0,592.05,591.1,591.35,194883
9,2022-07-11 11:30:00,591.4,592.25,591.0,591.35,210322
10,2022-07-11 11:45:00,591.1,592.15,589.5,589.9,227959
11,2022-07-11 12:00:00,589.9,590.4,589.3,589.3,242132
12,2022-07-11 12:15:00,589.3,589.5,586.7,586.7,275259
13,2022-07-11 12:30:00,586.7,588.25,586.1,587.7,301771
14,2022-07-11 12:45:00,587.7,587.9,586.65,586.8,312148
15,2022-07-11 13:00:00,586.8,586.8,585.55,586.45,348559
16,2022-07-11 13:15:00,586.45,587.55,586.25,586.65,479319
17,2022-07-11 13:30:00,586.45,587.2,585.9,587.0,554866
18,2022-07-11 13:45:00,587.0,587.45,585.1,586.0,615099
19,2022-07-11 14:00:00,586.0,589.7,585.6,589.0,641048
20,2022-07-11 14:15:00,589.0,591.35,588.35,591.0,654727
21,2022-07-11 14:30:00,591.35,592.5,590.6,592.35,677663
22,2022-07-11 14:45:00,592.35,593.4,590.9,592.15,711029
23,2022-07-11 15:00:00,592.25,593.55,591.45,593.05,758874
24,2022-07-11 15:15:00,593.05,594.0,591.35,594.0,811357
25,2022-07-11 15:30:00,592.6,592.6,592.6,592.6,811359
26,2022-07-12 09:15:00,591.95,591.95,583.1,586.7,26170
27,2022-07-12 09:30:00,586.4,587.65,586.4,587.25,52829
28,2022-07-12 09:45:00,586.75,587.15,584.8,585.45,80222
29,2022-07-12 10:00:00,585.45,586.9,585.2,585.95,140464
30,2022-07-12 10:15:00,585.95,585.95,584.4,584.95,157817
31,2022-07-12 10:30:00,584.95,585.0,582.5,583.0,189784
32,2022-07-12 10:45:00,583.0,583.2,582.5,582.9,240652
