,Date,o,h,l,c,v
0,2022-07-25 09:15:00,679.95,684.2,679.2,682.5,193132
1,2022-07-25 09:30:00,682.5,685.8,681.15,685.7,492644
2,2022-07-25 09:45:00,685.7,685.7,682.9,685.2,658120
3,2022-07-25 10:00:00,685.2,686.55,684.0,684.05,791926
4,2022-07-25 10:15:00,684.05,685.85,682.65,684.45,906858
5,2022-07-25 10:30:00,684.3,685.0,684.0,684.1,966154
6,2022-07-25 10:45:00,684.1,685.0,683.1,683.65,1032289
7,2022-07-25 11:00:00,683.65,683.65,681.15,682.3,1092978
8,2022-07-25 11:15:00,682.1,683.5,681.85,682.3,1171054
9,2022-07-25 11:30:00,682.25,683.4,682.25,682.65,1255465
10,2022-07-25 11:45:00,682.7,684.8,682.6,684.6,1332692
11,2022-07-25 12:00:00,684.5,685.45,684.2,685.4,1407274
12,2022-07-25 12:15:00,685.3,685.5,684.15,685.05,1469801
13,2022-07-25 12:30:00,685.0,685.2,683.05,683.15,1518952
14,2022-07-25 12:45:00,683.15,683.95,680.55,681.9,1615527
15,2022-07-25 13:00:00,681.9,683.6,681.5,683.5,1684975
16,2022-07-25 13:15:00,683.5,683.6,682.05,682.2,1732304
17,2022-07-25 13:30:00,682.4,683.0,681.2,681.8,1775667
18,2022-07-25 13:45:00,681.8,682.4,681.05,681.85,1822401
19,2022-07-25 14:00:00,682.05,682.95,681.55,682.75,1868257
20,2022-07-25 14:15:00,682.75,684.0,682.6,684.0,1924567
21,2022-07-25 14:30:00,683.95,684.0,681.9,681.95,1997000
22,2022-07-25 14:45:00,682.0,682.3,679.9,681.05,2129432
23,2022-07-25 15:00:00,681.2,681.2,677.7,678.0,2407495
24,2022-07-25 15:15:00,678.15,678.9,676.55,677.5,2752805
25,2022-07-25 15:30:00,678.4,678.4,678.4,678.4,2912834
