,Date,o,h,l,c,v
0,2022-07-11 09:15:00,46.75,47.6,46.65,47.35,1899148
1,2022-07-11 09:30:00,47.35,47.55,47.25,47.55,2593238
2,2022-07-11 09:45:00,47.55,47.95,47.5,47.7,3488616
3,2022-07-11 10:00:00,47.7,47.75,47.55,47.6,3798181
4,2022-07-11 10:15:00,47.6,47.85,47.45,47.8,4431253
5,2022-07-11 10:30:00,47.8,48.0,47.75,48.0,5691615
6,2022-07-11 10:45:00,48.0,48.0,47.8,47.85,6453469
7,2022-07-11 11:00:00,47.9,48.0,47.8,48.0,6905172
8,2022-07-11 11:15:00,48.0,48.0,47.8,47.95,7365984
9,2022-07-11 11:30:00,47.95,48.1,47.8,47.9,8548945
10,2022-07-11 11:45:00,47.9,47.9,47.8,47.9,8731702
11,2022-07-11 12:00:00,47.9,48.1,47.85,48.05,9202665
12,2022-07-11 12:15:00,48.0,48.05,47.9,47.9,9343098
13,2022-07-11 12:30:00,47.9,48.0,47.85,47.9,9602713
14,2022-07-11 12:45:00,47.9,48.0,47.85,48.0,9746215
15,2022-07-11 13:00:00,48.0,48.2,47.9,48.05,10293669
16,2022-07-11 13:15:00,48.05,48.15,47.9,48.0,11043857
17,2022-07-11 13:30:00,48.0,48.15,47.95,48.1,11275147
18,2022-07-11 13:45:00,48.1,48.15,48.0,48.0,11577092
19,2022-07-11 14:00:00,48.05,48.2,47.9,47.95,12039082
20,2022-07-11 14:15:00,47.95,48.05,47.9,47.9,12391858
21,2022-07-11 14:30:00,47.95,48.1,47.9,48.0,12805462
22,2022-07-11 14:45:00,48.0,48.1,47.95,48.0,13208667
23,2022-07-11 15:00:00,48.0,48.15,47.95,48.05,13889892
24,2022-07-11 15:15:00,48.1,48.15,47.9,47.95,15304835
25,2022-07-11 15:30:00,48.05,48.05,48.05,48.05,15323580
26,2022-07-12 09:15:00,47.85,47.9,47.55,47.75,726137
27,2022-07-12 09:30:00,47.8,49.05,47.7,48.5,3433411
28,2022-07-12 09:45:00,48.5,48.85,48.45,48.8,5890161
29,2022-07-12 10:00:00,48.8,49.25,48.8,49.05,7726674
30,2022-07-12 10:15:00,49.05,49.25,48.9,49.2,9408339
31,2022-07-12 10:30:00,49.2,49.35,49.1,49.35,12472577
32,2022-07-12 10:45:00,49.35,49.55,49.3,49.55,14264870
