,Date,o,h,l,c,v
0,2022-07-11 09:15:00,904.0,904.0,890.0,894.0,6942
1,2022-07-11 09:30:00,893.9,895.75,891.0,895.75,11110
2,2022-07-11 09:45:00,895.75,901.9,895.75,898.85,15027
3,2022-07-11 10:00:00,898.85,904.45,898.45,903.9,16479
4,2022-07-11 10:15:00,903.9,914.2,903.2,910.45,20319
5,2022-07-11 10:30:00,910.45,910.45,905.0,906.45,21435
6,2022-07-11 10:45:00,906.45,916.45,906.45,909.3,24596
7,2022-07-11 11:00:00,909.3,912.0,909.0,909.05,25584
8,2022-07-11 11:15:00,910.5,910.5,908.0,908.3,26245
9,2022-07-11 11:30:00,908.3,909.55,907.0,907.1,27973
10,2022-07-11 11:45:00,906.5,907.0,906.45,906.55,28338
11,2022-07-11 12:00:00,906.85,909.75,906.85,909.05,29085
12,2022-07-11 12:15:00,909.05,909.65,908.0,908.75,29657
13,2022-07-11 12:30:00,908.75,909.9,908.0,908.0,29820
14,2022-07-11 12:45:00,908.0,910.0,908.0,910.0,30249
15,2022-07-11 13:00:00,910.0,911.75,908.2,909.0,30744
16,2022-07-11 13:15:00,909.0,915.1,908.85,910.0,32788
17,2022-07-11 13:30:00,911.15,915.0,910.0,912.05,33755
18,2022-07-11 13:45:00,912.05,914.95,910.25,910.6,35257
19,2022-07-11 14:00:00,910.6,914.7,910.0,912.25,37247
20,2022-07-11 14:15:00,910.85,914.0,910.75,913.0,37683
21,2022-07-11 14:30:00,913.0,913.0,909.95,911.7,38510
22,2022-07-11 14:45:00,911.7,912.25,909.05,909.65,40087
23,2022-07-11 15:00:00,910.4,915.0,909.5,912.85,41655
24,2022-07-11 15:15:00,912.85,913.8,901.1,905.0,46364
25,2022-07-11 15:30:00,910.05,910.05,910.05,910.05,46366
26,2022-07-12 09:15:00,907.8,914.35,897.65,914.35,1932
27,2022-07-12 09:30:00,914.25,920.0,897.35,902.65,8218
28,2022-07-12 09:45:00,902.65,908.15,902.65,904.45,11923
29,2022-07-12 10:00:00,905.6,906.0,902.3,902.75,13700
30,2022-07-12 10:15:00,902.75,905.95,902.1,904.95,14673
31,2022-07-12 10:30:00,904.95,905.95,901.0,901.0,15394
32,2022-07-12 10:45:00,901.0,901.85,900.0,901.6,16871
