,Date,o,h,l,c,v
0,2022-07-11 09:15:00,8085.35,8085.35,7970.15,7996.55,2734
1,2022-07-11 09:30:00,7996.55,8049.9,7985.0,8047.0,3709
2,2022-07-11 09:45:00,8047.0,8065.0,8020.2,8044.4,4296
3,2022-07-11 10:00:00,8044.4,8074.4,8039.95,8074.4,4730
4,2022-07-11 10:15:00,8074.4,8075.0,8034.15,8045.65,5038
5,2022-07-11 10:30:00,8045.65,8079.95,8038.2,8076.0,5894
6,2022-07-11 10:45:00,8076.0,8099.0,8065.05,8065.05,6533
7,2022-07-11 11:00:00,8065.05,8075.2,8060.0,8064.45,6695
8,2022-07-11 11:15:00,8064.45,8098.9,8063.6,8094.95,7139
9,2022-07-11 11:30:00,8094.75,8110.0,8064.95,8078.35,8018
10,2022-07-11 11:45:00,8078.2,8090.4,8065.1,8082.95,8481
11,2022-07-11 12:00:00,8082.95,8100.0,8066.55,8071.8,8940
12,2022-07-11 12:15:00,8071.8,8079.8,8045.3,8045.85,9756
13,2022-07-11 12:30:00,8045.85,8072.0,8045.25,8063.6,9901
14,2022-07-11 12:45:00,8063.6,8095.0,8056.0,8064.45,10152
15,2022-07-11 13:00:00,8064.45,8064.6,8040.15,8046.75,10524
16,2022-07-11 13:15:00,8050.0,8069.55,8050.0,8058.9,10741
17,2022-07-11 13:30:00,8064.75,8064.75,8045.05,8055.25,11252
18,2022-07-11 13:45:00,8055.25,8076.45,8049.3,8073.85,11440
19,2022-07-11 14:00:00,8073.85,8090.35,8065.0,8085.0,12051
20,2022-07-11 14:15:00,8085.0,8110.0,8078.0,8100.95,12387
21,2022-07-11 14:30:00,8100.95,8110.0,8081.8,8104.0,13146
22,2022-07-11 14:45:00,8109.0,8110.0,8071.65,8071.65,13994
23,2022-07-11 15:00:00,8071.65,8105.75,8050.8,8071.4,14726
24,2022-07-11 15:15:00,8071.4,8110.0,8050.0,8071.0,16417
25,2022-07-11 15:30:00,8094.5,8094.5,8094.5,8094.5,16572
26,2022-07-12 09:15:00,8100.0,8104.0,8056.3,8080.0,705
27,2022-07-12 09:30:00,8080.0,8100.0,8065.0,8100.0,1201
28,2022-07-12 09:45:00,8100.0,8155.0,8096.0,8145.2,3230
29,2022-07-12 10:00:00,8145.2,8185.0,8140.05,8151.05,6021
30,2022-07-12 10:15:00,8151.05,8169.0,8135.0,8167.25,8507
31,2022-07-12 10:30:00,8167.25,8169.35,8151.0,8156.2,8823
32,2022-07-12 10:45:00,8156.2,8156.35,8142.7,8142.7,9035
