,Date,o,h,l,c,v
0,2022-07-25 09:15:00,999.7,1010.05,999.7,1003.9,1487
1,2022-07-25 09:30:00,1003.9,1009.55,1003.9,1007.3,4400
2,2022-07-25 09:45:00,1007.3,1007.65,1004.1,1006.4,5615
3,2022-07-25 10:00:00,1006.4,1007.95,1005.6,1007.05,7458
4,2022-07-25 10:15:00,1006.75,1008.05,1005.6,1006.45,7939
5,2022-07-25 10:30:00,1006.45,1008.55,1005.95,1005.95,8487
6,2022-07-25 10:45:00,1005.95,1007.45,1005.0,1005.35,9384
7,2022-07-25 11:00:00,1005.35,1005.6,1004.95,1005.0,10302
8,2022-07-25 11:15:00,1005.0,1007.1,1005.0,1007.1,10858
9,2022-07-25 11:30:00,1007.1,1007.1,1005.0,1005.4,11523
10,2022-07-25 11:45:00,1005.4,1007.35,1005.1,1006.0,12125
11,2022-07-25 12:00:00,1006.0,1006.85,997.15,999.95,13576
12,2022-07-25 12:15:00,999.95,999.95,999.0,999.6,15768
13,2022-07-25 12:30:00,999.6,999.6,989.35,990.0,16346
14,2022-07-25 12:45:00,990.0,990.7,985.25,985.3,16968
15,2022-07-25 13:00:00,985.3,991.5,985.25,985.35,18072
16,2022-07-25 13:15:00,985.35,986.8,985.35,986.0,19516
17,2022-07-25 13:30:00,986.0,986.85,982.0,983.1,20631
18,2022-07-25 13:45:00,982.25,985.35,980.0,985.3,22247
19,2022-07-25 14:00:00,985.3,997.05,984.45,997.05,23441
20,2022-07-25 14:15:00,997.05,998.95,997.0,998.2,24860
21,2022-07-25 14:30:00,998.2,998.2,993.45,993.45,25398
22,2022-07-25 14:45:00,993.45,996.55,990.55,991.35,26084
23,2022-07-25 15:00:00,991.35,996.25,990.3,996.25,26804
24,2022-07-25 15:15:00,996.25,1000.0,995.1,1000.0,28692
25,2022-07-25 15:30:00,1000.0,1000.0,996.55,996.55,30080
