,Date,o,h,l,c,v
0,2022-07-25 09:15:00,16820.05,16999.95,16820.05,16884.1,2361
1,2022-07-25 09:30:00,16884.1,16949.95,16838.25,16901.1,4422
2,2022-07-25 09:45:00,16901.1,16933.0,16850.0,16865.5,5735
3,2022-07-25 10:00:00,16865.5,16873.0,16761.05,16796.95,8320
4,2022-07-25 10:15:00,16780.1,16840.0,16720.0,16799.85,10973
5,2022-07-25 10:30:00,16799.85,16800.0,16756.0,16791.3,12108
6,2022-07-25 10:45:00,16791.3,16794.05,16720.1,16728.5,12679
7,2022-07-25 11:00:00,16728.5,16738.3,16590.25,16608.0,15005
8,2022-07-25 11:15:00,16617.5,16618.75,16565.05,16580.05,16173
9,2022-07-25 11:30:00,16580.05,16600.0,16512.85,16570.6,18098
10,2022-07-25 11:45:00,16570.6,16571.4,16500.0,16525.0,19276
11,2022-07-25 12:00:00,16525.0,16549.05,16512.85,16542.0,19990
12,2022-07-25 12:15:00,16544.55,16549.25,16515.1,16515.25,20528
13,2022-07-25 12:30:00,16527.15,16527.15,16461.5,16478.1,21302
14,2022-07-25 12:45:00,16488.9,16500.0,16475.05,16500.0,21808
15,2022-07-25 13:00:00,16500.0,16532.05,16500.0,16523.6,22246
16,2022-07-25 13:15:00,16540.0,16599.0,16540.0,16552.7,23024
17,2022-07-25 13:30:00,16552.7,16552.7,16515.05,16524.9,23507
18,2022-07-25 13:45:00,16524.9,16525.0,16483.55,16499.7,23788
19,2022-07-25 14:00:00,16499.7,16557.05,16481.3,16539.0,24288
20,2022-07-25 14:15:00,16534.5,16640.0,16525.05,16626.75,25514
21,2022-07-25 14:30:00,16626.75,16635.85,16550.0,16590.0,26619
22,2022-07-25 14:45:00,16580.05,16600.0,16562.1,16580.0,27501
23,2022-07-25 15:00:00,16580.0,16580.0,16501.9,16514.85,28888
24,2022-07-25 15:15:00,16514.9,16538.7,16460.0,16530.0,31852
25,2022-07-25 15:30:00,16518.0,16518.0,16508.95,16508.95,33180
