,Date,o,h,l,c,v
0,2022-07-11 09:15:00,325.85,325.85,321.8,322.5,253890
1,2022-07-11 09:30:00,322.55,323.0,321.75,323.0,421930
2,2022-07-11 09:45:00,323.05,323.1,321.8,322.25,558141
3,2022-07-11 10:00:00,322.25,323.05,322.1,322.9,651003
4,2022-07-11 10:15:00,322.8,323.4,322.5,323.25,712599
5,2022-07-11 10:30:00,323.15,323.25,321.2,321.85,862516
6,2022-07-11 10:45:00,321.8,322.3,321.55,321.85,923949
7,2022-07-11 11:00:00,321.85,321.9,320.6,321.4,1077949
8,2022-07-11 11:15:00,321.6,321.6,318.35,318.75,1721506
9,2022-07-11 11:30:00,318.8,319.3,317.75,317.9,2079545
10,2022-07-11 11:45:00,317.9,318.05,316.55,317.1,2347064
11,2022-07-11 12:00:00,317.1,317.25,316.05,316.4,2525933
12,2022-07-11 12:15:00,316.4,316.6,315.5,316.2,2792775
13,2022-07-11 12:30:00,316.2,317.2,315.9,316.35,2966390
14,2022-07-11 12:45:00,316.3,316.95,316.1,316.8,3058811
15,2022-07-11 13:00:00,316.85,317.1,316.5,316.9,3424360
16,2022-07-11 13:15:00,316.9,317.1,316.6,316.9,3542971
17,2022-07-11 13:30:00,317.0,317.9,316.5,317.9,3698190
18,2022-07-11 13:45:00,317.8,317.9,316.45,316.85,4148043
19,2022-07-11 14:00:00,316.8,317.3,316.15,316.5,4405159
20,2022-07-11 14:15:00,316.55,316.8,316.25,316.65,4526377
21,2022-07-11 14:30:00,316.6,317.25,316.5,316.65,4689650
22,2022-07-11 14:45:00,316.65,316.95,315.8,315.8,5063802
23,2022-07-11 15:00:00,315.95,316.1,315.8,315.95,5486953
24,2022-07-11 15:15:00,315.9,316.0,315.6,315.95,5912682
25,2022-07-11 15:30:00,315.9,315.9,315.9,315.9,5913170
26,2022-07-12 09:15:00,314.9,314.9,312.25,313.25,329208
27,2022-07-12 09:30:00,313.2,313.35,311.45,312.2,699379
28,2022-07-12 09:45:00,312.3,312.35,311.0,311.8,961703
29,2022-07-12 10:00:00,311.8,313.7,311.55,313.4,1195204
30,2022-07-12 10:15:00,313.3,313.6,312.6,313.3,1374765
31,2022-07-12 10:30:00,313.3,314.55,313.05,314.0,1549251
32,2022-07-12 10:45:00,314.05,314.4,314.0,314.1,1718897
