,Date,o,h,l,c,v
0,2022-07-25 09:15:00,484.75,488.3,483.5,486.4,9684
1,2022-07-25 09:30:00,486.0,486.85,484.55,485.25,26135
2,2022-07-25 09:45:00,485.25,486.25,483.5,485.0,30495
3,2022-07-25 10:00:00,485.0,485.05,480.4,484.0,36231
4,2022-07-25 10:15:00,483.5,484.5,483.0,483.5,43585
5,2022-07-25 10:30:00,483.35,483.95,483.0,483.4,45996
6,2022-07-25 10:45:00,483.4,484.3,483.0,483.0,47776
7,2022-07-25 11:00:00,483.0,484.0,483.0,483.0,56857
8,2022-07-25 11:15:00,483.0,483.95,482.55,483.9,60734
9,2022-07-25 11:30:00,483.9,483.9,483.0,483.5,62837
10,2022-07-25 11:45:00,483.5,484.0,483.0,483.75,64878
11,2022-07-25 12:00:00,483.75,483.75,483.0,483.55,66090
12,2022-07-25 12:15:00,483.55,483.9,483.0,483.3,66504
13,2022-07-25 12:30:00,483.3,484.0,483.0,484.0,66926
14,2022-07-25 12:45:00,484.0,484.0,483.0,483.9,67750
15,2022-07-25 13:00:00,483.9,483.9,483.5,483.85,68054
16,2022-07-25 13:15:00,483.85,484.0,483.2,483.8,69463
17,2022-07-25 13:30:00,483.8,483.8,483.0,483.8,70661
18,2022-07-25 13:45:00,483.8,483.8,483.05,483.45,71154
19,2022-07-25 14:00:00,483.6,484.0,483.35,483.7,71934
20,2022-07-25 14:15:00,483.7,483.95,483.15,483.9,72551
21,2022-07-25 14:30:00,483.9,484.0,483.0,483.8,74356
22,2022-07-25 14:45:00,483.8,486.9,483.0,486.7,77998
23,2022-07-25 15:00:00,486.7,489.0,485.8,488.5,87034
24,2022-07-25 15:15:00,488.9,490.0,486.65,487.1,103469
25,2022-07-25 15:30:00,488.25,488.25,488.25,488.25,109114
