,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3878.9,3891.8,3860.0,3863.8,10620
1,2022-07-25 09:30:00,3862.45,3873.55,3850.0,3868.7,25414
2,2022-07-25 09:45:00,3868.7,3897.8,3868.7,3897.8,36861
3,2022-07-25 10:00:00,3897.75,3915.0,3890.0,3915.0,58395
4,2022-07-25 10:15:00,3914.0,3915.0,3902.85,3906.0,75183
5,2022-07-25 10:30:00,3906.0,3911.0,3897.65,3909.9,83460
6,2022-07-25 10:45:00,3909.9,3909.9,3903.9,3906.0,95007
7,2022-07-25 11:00:00,3906.0,3909.0,3903.7,3905.05,103517
8,2022-07-25 11:15:00,3905.05,3905.05,3886.9,3889.7,116432
9,2022-07-25 11:30:00,3889.85,3891.0,3887.05,3890.5,127196
10,2022-07-25 11:45:00,3890.5,3890.7,3887.1,3890.05,137881
11,2022-07-25 12:00:00,3890.05,3895.15,3885.0,3892.75,147958
12,2022-07-25 12:15:00,3892.75,3909.0,3890.05,3907.95,161310
13,2022-07-25 12:30:00,3907.95,3909.0,3897.6,3904.9,171862
14,2022-07-25 12:45:00,3904.9,3906.0,3897.05,3902.0,183060
15,2022-07-25 13:00:00,3902.0,3907.0,3900.0,3907.0,194492
16,2022-07-25 13:15:00,3907.0,3909.0,3899.75,3900.65,205895
17,2022-07-25 13:30:00,3900.65,3905.5,3898.95,3901.9,213325
18,2022-07-25 13:45:00,3901.9,3906.9,3896.6,3904.7,224615
19,2022-07-25 14:00:00,3904.7,3911.0,3903.0,3909.85,233007
20,2022-07-25 14:15:00,3909.85,3913.4,3898.55,3902.8,246919
21,2022-07-25 14:30:00,3902.8,3903.05,3890.05,3895.0,255833
22,2022-07-25 14:45:00,3895.0,3903.0,3891.3,3896.25,261721
23,2022-07-25 15:00:00,3896.05,3899.4,3889.75,3893.0,269940
24,2022-07-25 15:15:00,3893.05,3894.8,3869.8,3880.0,281259
25,2022-07-25 15:30:00,3885.9,3885.9,3885.9,3885.9,290144
