,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2420.0,2445.55,2416.05,2428.4,5607
1,2022-07-25 09:30:00,2428.4,2446.4,2422.0,2428.1,11758
2,2022-07-25 09:45:00,2428.1,2436.65,2416.3,2427.4,17931
3,2022-07-25 10:00:00,2427.4,2432.95,2425.35,2426.15,20521
4,2022-07-25 10:15:00,2426.15,2432.25,2424.05,2431.6,22340
5,2022-07-25 10:30:00,2429.7,2433.95,2428.0,2428.1,24381
6,2022-07-25 10:45:00,2428.1,2433.4,2428.1,2431.5,25925
7,2022-07-25 11:00:00,2431.9,2433.35,2427.0,2432.65,27219
8,2022-07-25 11:15:00,2432.65,2434.85,2430.0,2432.7,29147
9,2022-07-25 11:30:00,2434.2,2439.0,2433.05,2438.95,31268
10,2022-07-25 11:45:00,2438.95,2439.0,2436.05,2438.0,32722
11,2022-07-25 12:00:00,2438.05,2438.9,2436.0,2437.0,33859
12,2022-07-25 12:15:00,2437.0,2440.0,2435.05,2435.65,35646
13,2022-07-25 12:30:00,2435.65,2439.8,2434.95,2436.0,37560
14,2022-07-25 12:45:00,2436.0,2442.75,2435.0,2438.0,39755
15,2022-07-25 13:00:00,2438.9,2439.1,2433.3,2436.0,41451
16,2022-07-25 13:15:00,2436.0,2439.9,2435.55,2437.45,42308
17,2022-07-25 13:30:00,2437.45,2439.6,2435.0,2435.0,43065
18,2022-07-25 13:45:00,2435.0,2438.8,2434.0,2438.45,44056
19,2022-07-25 14:00:00,2438.45,2438.6,2435.0,2436.3,45331
20,2022-07-25 14:15:00,2436.3,2441.0,2435.5,2438.2,47284
21,2022-07-25 14:30:00,2438.2,2440.95,2436.05,2437.1,48873
22,2022-07-25 14:45:00,2438.0,2438.85,2435.0,2436.0,50323
23,2022-07-25 15:00:00,2438.0,2438.0,2435.0,2436.5,53332
24,2022-07-25 15:15:00,2437.2,2438.0,2435.0,2436.15,57497
25,2022-07-25 15:30:00,2436.15,2436.2,2436.15,2436.2,60523
