,Date,o,h,l,c,v
0,2022-07-25 09:15:00,229.05,230.15,227.65,227.65,582693
1,2022-07-25 09:30:00,227.55,227.6,224.85,225.9,1863366
2,2022-07-25 09:45:00,225.9,226.7,225.05,226.05,2614739
3,2022-07-25 10:00:00,226.05,226.85,225.4,226.55,2922886
4,2022-07-25 10:15:00,226.55,228.4,226.3,227.45,3297466
5,2022-07-25 10:30:00,227.45,228.05,227.0,227.75,3658391
6,2022-07-25 10:45:00,227.75,228.0,226.95,227.25,3856850
7,2022-07-25 11:00:00,227.25,227.35,226.1,226.35,4030202
8,2022-07-25 11:15:00,226.35,226.5,225.5,225.75,4224239
9,2022-07-25 11:30:00,225.75,226.3,225.55,226.0,4381713
10,2022-07-25 11:45:00,226.0,226.55,225.85,226.15,4521329
11,2022-07-25 12:00:00,226.15,226.2,225.6,225.75,4663550
12,2022-07-25 12:15:00,225.65,225.95,225.5,225.8,4767530
13,2022-07-25 12:30:00,225.8,228.5,224.35,226.0,5164546
14,2022-07-25 12:45:00,225.75,234.5,225.55,232.2,9240179
15,2022-07-25 13:00:00,232.15,232.25,220.7,223.6,16421678
16,2022-07-25 13:15:00,223.4,227.0,223.4,226.1,20580928
17,2022-07-25 13:30:00,226.15,226.2,225.0,225.0,21886356
18,2022-07-25 13:45:00,225.1,226.0,223.15,223.35,22435623
19,2022-07-25 14:00:00,223.35,225.95,222.15,225.55,23854949
20,2022-07-25 14:15:00,225.75,225.95,225.05,225.65,24933216
21,2022-07-25 14:30:00,225.65,226.55,225.0,225.7,25520691
22,2022-07-25 14:45:00,225.75,226.5,225.1,225.65,26037312
23,2022-07-25 15:00:00,225.65,225.65,224.5,224.55,26543594
24,2022-07-25 15:15:00,224.7,225.25,224.0,224.0,27378285
25,2022-07-25 15:30:00,224.0,224.8,224.0,224.8,27752564
