,Date,o,h,l,c,v
0,2022-07-11 09:15:00,729.9,733.9,729.9,732.3,1269
1,2022-07-11 09:30:00,731.85,733.55,730.7,733.55,1984
2,2022-07-11 09:45:00,733.55,735.8,733.2,735.4,3390
3,2022-07-11 10:00:00,735.4,735.8,735.0,735.8,3971
4,2022-07-11 10:15:00,735.8,735.8,733.9,734.95,5262
5,2022-07-11 10:30:00,735.0,735.2,732.6,734.0,6041
6,2022-07-11 10:45:00,734.0,736.0,733.6,733.75,7045
7,2022-07-11 11:00:00,733.75,736.9,733.75,736.9,7680
8,2022-07-11 11:15:00,736.9,739.4,735.6,735.9,8518
9,2022-07-11 11:30:00,735.9,737.1,732.55,734.0,10190
10,2022-07-11 11:45:00,734.0,734.0,731.0,731.9,10604
11,2022-07-11 12:00:00,731.9,732.55,731.0,732.55,11059
12,2022-07-11 12:15:00,732.55,733.0,731.0,731.75,11335
13,2022-07-11 12:30:00,731.65,731.65,730.0,730.0,11559
14,2022-07-11 12:45:00,730.0,731.9,729.55,731.5,12242
15,2022-07-11 13:00:00,731.9,731.9,730.65,730.95,12436
16,2022-07-11 13:15:00,730.95,732.0,730.95,731.95,12635
17,2022-07-11 13:30:00,731.95,733.35,731.3,733.35,13189
18,2022-07-11 13:45:00,733.35,734.2,732.2,734.15,13269
19,2022-07-11 14:00:00,734.15,734.15,731.35,731.85,13429
20,2022-07-11 14:15:00,731.85,735.8,731.35,734.45,14043
21,2022-07-11 14:30:00,734.45,736.0,731.0,731.0,15068
22,2022-07-11 14:45:00,731.0,734.75,731.0,731.0,15524
23,2022-07-11 15:00:00,730.95,734.35,730.3,731.15,17143
24,2022-07-11 15:15:00,731.15,733.95,730.1,730.1,20310
25,2022-07-11 15:30:00,730.1,731.3,730.1,731.3,20310
26,2022-07-12 09:15:00,730.95,739.85,725.25,736.35,1738
27,2022-07-12 09:30:00,736.35,737.0,736.1,737.0,3340
28,2022-07-12 09:45:00,737.0,738.5,737.0,738.5,3917
29,2022-07-12 10:00:00,738.5,742.0,738.5,742.0,6018
30,2022-07-12 10:15:00,742.0,742.0,740.05,740.05,9832
31,2022-07-12 10:30:00,740.05,741.1,740.05,740.05,11802
32,2022-07-12 10:45:00,740.05,740.5,740.05,740.05,12466
