,Date,o,h,l,c,v
0,2022-07-25 09:15:00,786.4,795.35,786.4,788.2,4122
1,2022-07-25 09:30:00,788.2,799.0,784.0,793.7,11228
2,2022-07-25 09:45:00,793.7,794.15,783.3,784.0,18897
3,2022-07-25 10:00:00,784.0,787.1,780.05,783.35,25607
4,2022-07-25 10:15:00,783.35,786.1,781.25,785.0,32868
5,2022-07-25 10:30:00,785.0,785.85,784.35,784.65,35527
6,2022-07-25 10:45:00,784.65,785.8,784.65,784.75,36811
7,2022-07-25 11:00:00,784.75,786.55,784.35,784.6,39660
8,2022-07-25 11:15:00,784.6,786.25,784.55,785.35,41410
9,2022-07-25 11:30:00,785.35,786.3,785.0,785.05,42059
10,2022-07-25 11:45:00,785.05,786.5,785.05,785.45,42940
11,2022-07-25 12:00:00,785.45,788.65,785.45,785.5,44106
12,2022-07-25 12:15:00,785.5,786.55,785.4,785.4,44672
13,2022-07-25 12:30:00,785.4,786.2,784.8,785.0,45297
14,2022-07-25 12:45:00,785.0,796.0,784.5,791.05,53734
15,2022-07-25 13:00:00,791.05,793.6,786.55,790.5,69843
16,2022-07-25 13:15:00,790.0,791.45,789.45,790.25,104210
17,2022-07-25 13:30:00,790.25,791.7,789.2,790.7,108460
18,2022-07-25 13:45:00,790.7,791.65,789.5,790.0,110901
19,2022-07-25 14:00:00,790.0,791.5,789.55,790.3,113926
20,2022-07-25 14:15:00,790.3,794.9,790.3,791.8,115426
21,2022-07-25 14:30:00,791.8,792.3,789.5,790.05,121676
22,2022-07-25 14:45:00,790.05,792.5,789.65,791.6,124337
23,2022-07-25 15:00:00,791.6,792.05,790.0,791.7,125494
24,2022-07-25 15:15:00,791.7,792.0,790.0,790.0,130537
25,2022-07-25 15:30:00,790.0,790.35,790.0,790.35,139896
