,Date,o,h,l,c,v
0,2022-07-11 09:15:00,406.6,412.45,405.45,405.7,50401
1,2022-07-11 09:30:00,405.55,407.3,403.0,407.0,68003
2,2022-07-11 09:45:00,407.0,407.4,404.0,404.5,81952
3,2022-07-11 10:00:00,404.5,407.65,402.7,406.9,96247
4,2022-07-11 10:15:00,406.8,407.85,405.25,407.0,106105
5,2022-07-11 10:30:00,407.45,407.85,406.6,407.45,111236
6,2022-07-11 10:45:00,407.45,407.5,406.05,406.3,115854
7,2022-07-11 11:00:00,406.3,407.5,406.05,407.1,118908
8,2022-07-11 11:15:00,407.1,407.1,404.5,406.0,130611
9,2022-07-11 11:30:00,406.05,406.8,405.15,405.15,133539
10,2022-07-11 11:45:00,405.35,405.4,404.1,404.15,135546
11,2022-07-11 12:00:00,404.3,405.8,403.9,405.45,138062
12,2022-07-11 12:15:00,405.45,405.5,403.35,403.55,141062
13,2022-07-11 12:30:00,403.55,405.8,403.4,404.9,142964
14,2022-07-11 12:45:00,404.9,406.0,404.9,405.55,147169
15,2022-07-11 13:00:00,405.55,406.5,405.05,405.5,154105
16,2022-07-11 13:15:00,405.5,406.0,405.05,405.95,156550
17,2022-07-11 13:30:00,406.0,406.95,405.95,406.5,159718
18,2022-07-11 13:45:00,406.7,406.95,403.35,404.1,165800
19,2022-07-11 14:00:00,404.1,404.55,401.6,402.65,174099
20,2022-07-11 14:15:00,402.65,403.3,402.05,403.2,177476
21,2022-07-11 14:30:00,403.2,403.95,401.4,402.0,187477
22,2022-07-11 14:45:00,402.0,402.55,399.7,399.7,197142
23,2022-07-11 15:00:00,399.7,402.5,399.0,400.5,206521
24,2022-07-11 15:15:00,400.85,404.45,398.6,402.0,229135
25,2022-07-11 15:30:00,401.1,401.1,401.1,401.1,229136
26,2022-07-12 09:15:00,400.05,403.3,400.05,403.2,7944
27,2022-07-12 09:30:00,403.2,403.9,402.05,403.1,16847
28,2022-07-12 09:45:00,403.1,404.1,402.5,403.7,20442
29,2022-07-12 10:00:00,403.85,404.0,403.25,404.0,22356
30,2022-07-12 10:15:00,404.0,406.0,403.2,405.5,29371
31,2022-07-12 10:30:00,405.5,405.9,404.15,404.7,32498
32,2022-07-12 10:45:00,404.7,405.9,404.7,405.85,34506
