,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1113.3,1131.55,1106.05,1122.0,21252
1,2022-07-11 09:30:00,1122.0,1127.9,1119.05,1127.9,27630
2,2022-07-11 09:45:00,1129.8,1131.05,1120.8,1120.95,33360
3,2022-07-11 10:00:00,1120.95,1121.6,1119.9,1120.2,37270
4,2022-07-11 10:15:00,1120.2,1122.95,1120.05,1120.4,38950
5,2022-07-11 10:30:00,1121.0,1122.0,1120.0,1120.95,40457
6,2022-07-11 10:45:00,1120.95,1126.0,1120.0,1124.75,44348
7,2022-07-11 11:00:00,1124.75,1126.9,1120.55,1122.5,47162
8,2022-07-11 11:15:00,1122.5,1135.8,1122.25,1133.05,60896
9,2022-07-11 11:30:00,1133.05,1133.8,1129.0,1130.5,68483
10,2022-07-11 11:45:00,1130.5,1132.0,1129.05,1130.75,70246
11,2022-07-11 12:00:00,1131.1,1139.0,1130.3,1137.9,74680
12,2022-07-11 12:15:00,1136.45,1137.9,1129.0,1129.05,78221
13,2022-07-11 12:30:00,1129.05,1134.0,1129.0,1130.7,81692
14,2022-07-11 12:45:00,1130.7,1135.0,1130.55,1132.1,84272
15,2022-07-11 13:00:00,1132.1,1135.25,1132.0,1134.6,86244
16,2022-07-11 13:15:00,1134.6,1138.5,1134.0,1136.85,89739
17,2022-07-11 13:30:00,1137.45,1137.7,1135.1,1137.7,91259
18,2022-07-11 13:45:00,1137.7,1167.0,1137.05,1163.45,127816
19,2022-07-11 14:00:00,1161.45,1179.0,1161.15,1172.5,169109
20,2022-07-11 14:15:00,1172.5,1176.95,1169.7,1175.0,187071
21,2022-07-11 14:30:00,1175.0,1188.0,1175.0,1178.0,217066
22,2022-07-11 14:45:00,1178.0,1182.3,1175.0,1175.75,228825
23,2022-07-11 15:00:00,1175.75,1179.75,1175.0,1175.1,241292
24,2022-07-11 15:15:00,1175.0,1180.3,1166.7,1170.9,263816
25,2022-07-11 15:30:00,1176.45,1176.45,1176.45,1176.45,263856
26,2022-07-12 09:15:00,1155.0,1164.85,1150.1,1153.65,7028
27,2022-07-12 09:30:00,1153.65,1155.0,1147.0,1151.0,16773
28,2022-07-12 09:45:00,1151.0,1151.0,1141.6,1143.8,23121
29,2022-07-12 10:00:00,1143.8,1149.5,1143.4,1148.4,28791
30,2022-07-12 10:15:00,1148.4,1151.0,1146.45,1146.5,31710
31,2022-07-12 10:30:00,1146.8,1146.8,1145.25,1145.25,33192
32,2022-07-12 10:45:00,1145.25,1149.25,1145.25,1149.25,34184
