,Date,o,h,l,c,v
0,2022-07-11 09:15:00,804.95,807.3,800.5,806.45,4212
1,2022-07-11 09:30:00,806.45,806.7,805.05,806.65,6013
2,2022-07-11 09:45:00,806.65,812.8,806.65,808.85,10531
3,2022-07-11 10:00:00,808.85,810.0,807.9,810.0,11952
4,2022-07-11 10:15:00,810.0,812.25,810.0,811.25,14047
5,2022-07-11 10:30:00,811.25,813.0,811.05,811.25,15918
6,2022-07-11 10:45:00,811.25,814.0,811.25,813.45,19864
7,2022-07-11 11:00:00,813.45,813.45,807.1,807.6,23523
8,2022-07-11 11:15:00,807.6,808.0,806.5,806.5,25573
9,2022-07-11 11:30:00,806.5,807.25,801.95,804.3,30181
10,2022-07-11 11:45:00,804.3,806.0,803.0,804.45,31145
11,2022-07-11 12:00:00,804.45,806.35,803.9,805.5,32967
12,2022-07-11 12:15:00,805.5,805.6,804.0,804.0,37115
13,2022-07-11 12:30:00,804.0,805.6,804.0,804.0,39198
14,2022-07-11 12:45:00,804.0,805.5,804.0,804.55,40519
15,2022-07-11 13:00:00,804.55,805.55,804.0,805.55,40894
16,2022-07-11 13:15:00,804.75,805.75,803.0,803.0,42620
17,2022-07-11 13:30:00,803.0,803.9,801.25,801.55,47521
18,2022-07-11 13:45:00,801.65,805.65,800.8,803.45,51205
19,2022-07-11 14:00:00,803.45,806.9,803.45,806.5,52372
20,2022-07-11 14:15:00,806.5,809.1,805.35,809.1,55833
21,2022-07-11 14:30:00,809.8,811.0,808.0,809.0,58494
22,2022-07-11 14:45:00,809.0,809.95,806.35,808.5,60252
23,2022-07-11 15:00:00,808.5,810.75,806.35,810.5,65353
24,2022-07-11 15:15:00,810.5,812.7,806.0,806.95,81533
25,2022-07-11 15:30:00,809.9,809.9,809.9,809.9,81533
26,2022-07-12 09:15:00,800.2,807.9,800.2,806.1,1912
27,2022-07-12 09:30:00,806.1,809.0,805.4,808.05,3977
28,2022-07-12 09:45:00,808.05,812.0,807.7,809.7,7870
29,2022-07-12 10:00:00,809.7,811.5,808.6,810.5,10403
30,2022-07-12 10:15:00,810.5,823.75,810.15,816.0,25661
31,2022-07-12 10:30:00,816.0,816.0,808.8,813.95,41653
32,2022-07-12 10:45:00,813.95,816.8,813.95,816.8,46153
