,Date,o,h,l,c,v
0,2022-07-11 09:15:00,4260.0,4291.25,4232.3,4276.2,718
1,2022-07-11 09:30:00,4276.2,4276.2,4235.05,4260.65,1414
2,2022-07-11 09:45:00,4260.65,4283.95,4256.6,4261.5,1674
3,2022-07-11 10:00:00,4261.5,4280.0,4256.6,4266.1,1874
4,2022-07-11 10:15:00,4266.1,4272.15,4264.55,4264.55,1962
5,2022-07-11 10:30:00,4264.55,4276.7,4264.55,4269.95,2039
6,2022-07-11 10:45:00,4269.95,4277.95,4268.0,4268.0,2115
7,2022-07-11 11:00:00,4268.0,4270.0,4268.0,4268.0,2130
8,2022-07-11 11:15:00,4268.0,4270.0,4266.0,4266.0,2195
9,2022-07-11 11:30:00,4266.0,4270.0,4261.3,4264.55,2271
10,2022-07-11 11:45:00,4264.55,4267.95,4259.05,4264.6,2292
11,2022-07-11 12:00:00,4264.6,4264.6,4259.3,4259.3,2310
12,2022-07-11 12:15:00,4259.3,4260.15,4255.9,4255.9,2321
13,2022-07-11 12:30:00,4255.9,4255.9,4254.05,4254.05,2326
14,2022-07-11 12:45:00,4254.05,4263.1,4254.05,4263.1,2347
15,2022-07-11 13:00:00,4263.1,4265.0,4225.0,4231.2,3872
16,2022-07-11 13:15:00,4231.2,4248.95,4230.0,4246.9,3926
17,2022-07-11 13:30:00,4246.9,4256.5,4246.9,4251.1,3975
18,2022-07-11 13:45:00,4251.1,4252.05,4248.95,4252.0,4024
19,2022-07-11 14:00:00,4246.9,4248.4,4220.0,4221.85,4318
20,2022-07-11 14:15:00,4221.85,4230.1,4220.0,4223.7,4475
21,2022-07-11 14:30:00,4223.7,4245.45,4223.7,4236.15,4617
22,2022-07-11 14:45:00,4236.15,4236.15,4220.0,4222.8,4822
23,2022-07-11 15:00:00,4222.8,4235.0,4213.0,4214.0,5362
24,2022-07-11 15:15:00,4213.9,4238.8,4186.05,4190.05,6410
25,2022-07-11 15:30:00,4210.8,4210.8,4210.8,4210.8,6410
26,2022-07-12 09:15:00,4233.0,4236.35,4202.05,4236.35,108
27,2022-07-12 09:30:00,4236.35,4256.75,4230.95,4238.5,355
28,2022-07-12 09:45:00,4238.5,4260.15,4235.25,4250.0,813
29,2022-07-12 10:00:00,4251.3,4251.3,4238.05,4239.9,1084
30,2022-07-12 10:15:00,4239.9,4241.0,4235.5,4235.5,1165
31,2022-07-12 10:30:00,4235.5,4241.0,4234.9,4241.0,1181
32,2022-07-12 10:45:00,4241.0,4241.0,4237.55,4237.55,1194
