,Date,o,h,l,c,v
0,2022-07-11 09:15:00,681.9,686.15,676.9,686.15,2591
1,2022-07-11 09:30:00,686.15,686.85,682.0,685.75,3145
2,2022-07-11 09:45:00,685.75,686.6,685.0,685.25,3449
3,2022-07-11 10:00:00,686.0,686.3,685.7,686.3,3523
4,2022-07-11 10:15:00,686.3,686.7,684.65,686.6,3856
5,2022-07-11 10:30:00,686.6,687.4,686.6,687.0,3937
6,2022-07-11 10:45:00,687.0,687.4,685.8,687.25,4520
7,2022-07-11 11:00:00,687.25,690.0,686.15,689.85,4915
8,2022-07-11 11:15:00,689.9,689.9,689.65,689.75,4941
9,2022-07-11 11:30:00,689.75,689.9,689.05,689.05,5018
10,2022-07-11 11:45:00,689.05,690.0,689.0,690.0,5149
11,2022-07-11 12:00:00,690.0,696.55,690.0,696.5,7243
12,2022-07-11 12:15:00,696.5,696.55,693.75,695.15,7707
13,2022-07-11 12:30:00,695.15,695.25,691.1,692.75,8611
14,2022-07-11 12:45:00,692.75,693.5,691.2,691.95,9135
15,2022-07-11 13:00:00,691.95,692.45,691.0,691.1,9470
16,2022-07-11 13:15:00,691.95,692.05,690.1,690.1,9649
17,2022-07-11 13:30:00,690.1,692.95,688.85,692.35,10622
18,2022-07-11 13:45:00,692.8,693.55,692.8,693.55,10747
19,2022-07-11 14:00:00,693.55,694.65,693.55,694.45,10981
20,2022-07-11 14:15:00,694.45,694.95,694.3,694.95,11109
21,2022-07-11 14:30:00,694.95,695.25,694.0,694.0,11349
22,2022-07-11 14:45:00,694.0,695.15,691.3,692.45,12140
23,2022-07-11 15:00:00,691.55,697.45,690.7,697.25,12939
24,2022-07-11 15:15:00,697.25,699.0,690.15,697.75,14718
25,2022-07-11 15:30:00,695.75,695.75,695.75,695.75,14718
26,2022-07-12 09:15:00,699.35,708.8,689.85,706.3,1530
27,2022-07-12 09:30:00,706.3,710.0,706.15,708.75,7619
28,2022-07-12 09:45:00,708.75,711.1,706.55,711.1,12124
29,2022-07-12 10:00:00,712.3,716.95,712.0,712.5,22129
30,2022-07-12 10:15:00,712.5,714.4,712.25,714.2,25460
31,2022-07-12 10:30:00,714.2,714.4,712.9,713.0,27064
32,2022-07-12 10:45:00,713.65,714.0,712.5,714.0,28131
