,Date,o,h,l,c,v
0,2022-07-25 09:15:00,230.75,231.25,226.6,228.0,272068
1,2022-07-25 09:30:00,228.0,228.35,226.45,227.2,545830
2,2022-07-25 09:45:00,227.2,227.35,225.05,225.75,679510
3,2022-07-25 10:00:00,225.55,227.0,225.25,226.6,777518
4,2022-07-25 10:15:00,226.6,227.0,226.05,226.1,841818
5,2022-07-25 10:30:00,226.1,226.8,226.0,226.45,876800
6,2022-07-25 10:45:00,226.45,226.8,226.1,226.1,903826
7,2022-07-25 11:00:00,226.2,226.55,225.2,225.4,1000092
8,2022-07-25 11:15:00,225.4,225.5,225.0,225.25,1071101
9,2022-07-25 11:30:00,225.25,225.3,225.0,225.25,1150442
10,2022-07-25 11:45:00,225.2,225.5,225.0,225.35,1198613
11,2022-07-25 12:00:00,225.35,225.5,225.0,225.1,1218642
12,2022-07-25 12:15:00,225.1,225.95,225.0,225.75,1238330
13,2022-07-25 12:30:00,225.75,225.9,225.25,225.55,1261406
14,2022-07-25 12:45:00,225.55,225.7,224.2,224.75,1288140
15,2022-07-25 13:00:00,224.75,225.0,224.2,224.4,1354362
16,2022-07-25 13:15:00,224.4,224.8,224.1,224.2,1390607
17,2022-07-25 13:30:00,224.2,224.4,223.05,223.5,1419460
18,2022-07-25 13:45:00,223.3,223.4,219.35,219.5,1572994
19,2022-07-25 14:00:00,219.5,219.5,216.25,218.45,1876841
20,2022-07-25 14:15:00,218.4,219.5,217.7,218.2,2043673
21,2022-07-25 14:30:00,218.25,218.45,217.9,218.1,2170191
22,2022-07-25 14:45:00,218.1,218.35,217.05,217.35,2243789
23,2022-07-25 15:00:00,217.35,218.8,216.75,218.0,2390156
24,2022-07-25 15:15:00,218.0,218.25,217.0,217.6,2575882
25,2022-07-25 15:30:00,217.6,217.9,217.6,217.9,2654557
