,Date,o,h,l,c,v
0,2022-07-25 09:15:00,321.9,322.5,317.65,317.85,290206
1,2022-07-25 09:30:00,317.9,317.95,315.0,317.05,604535
2,2022-07-25 09:45:00,317.2,317.25,314.7,316.2,771682
3,2022-07-25 10:00:00,316.2,316.5,313.05,316.1,966335
4,2022-07-25 10:15:00,316.25,317.6,315.1,317.55,1068441
5,2022-07-25 10:30:00,317.6,317.65,316.8,317.05,1156569
6,2022-07-25 10:45:00,317.05,317.35,316.2,317.05,1200645
7,2022-07-25 11:00:00,317.05,317.05,316.0,316.3,1238006
8,2022-07-25 11:15:00,316.3,317.15,314.75,316.3,1304480
9,2022-07-25 11:30:00,316.3,316.9,316.05,316.55,1351680
10,2022-07-25 11:45:00,316.55,317.6,316.1,316.8,1391641
11,2022-07-25 12:00:00,316.8,317.0,316.0,316.35,1435556
12,2022-07-25 12:15:00,316.3,317.2,316.1,316.95,1463525
13,2022-07-25 12:30:00,316.95,316.95,315.8,316.2,1492328
14,2022-07-25 12:45:00,316.2,316.45,315.6,316.45,1519113
15,2022-07-25 13:00:00,316.5,316.8,315.8,316.3,1573479
16,2022-07-25 13:15:00,316.3,316.4,315.95,316.15,1604317
17,2022-07-25 13:30:00,316.15,316.8,315.8,316.4,1632834
18,2022-07-25 13:45:00,316.4,316.8,316.15,316.8,1650065
19,2022-07-25 14:00:00,316.8,318.1,316.8,318.1,1712713
20,2022-07-25 14:15:00,318.1,318.7,317.1,317.3,1781552
21,2022-07-25 14:30:00,317.2,317.45,315.5,316.9,1861054
22,2022-07-25 14:45:00,316.9,316.9,316.1,316.5,1936377
23,2022-07-25 15:00:00,316.55,316.55,315.65,315.8,2012369
24,2022-07-25 15:15:00,316.0,317.0,315.5,317.0,2217158
25,2022-07-25 15:30:00,316.6,316.6,316.15,316.15,2329894
