,Date,o,h,l,c,v
0,2022-07-11 09:15:00,624.0,625.45,619.0,625.45,1420
1,2022-07-11 09:30:00,625.45,626.0,623.7,625.7,2267
2,2022-07-11 09:45:00,625.7,625.75,624.35,624.35,2743
3,2022-07-11 10:00:00,624.35,626.0,624.35,626.0,3853
4,2022-07-11 10:15:00,626.0,626.0,625.0,625.85,4216
5,2022-07-11 10:30:00,625.85,626.0,625.0,626.0,4882
6,2022-07-11 10:45:00,626.0,626.0,625.05,626.0,5053
7,2022-07-11 11:00:00,626.0,626.0,620.7,623.95,6412
8,2022-07-11 11:15:00,624.0,626.0,623.9,624.85,7260
9,2022-07-11 11:30:00,624.85,626.0,624.65,625.75,8051
10,2022-07-11 11:45:00,625.7,625.95,624.5,625.5,8193
11,2022-07-11 12:00:00,625.5,625.5,624.4,625.5,8380
12,2022-07-11 12:15:00,625.5,633.95,624.45,633.5,11849
13,2022-07-11 12:30:00,632.0,634.0,632.0,633.8,13820
14,2022-07-11 12:45:00,633.8,633.9,631.0,633.65,14959
15,2022-07-11 13:00:00,633.65,634.0,629.95,630.0,16307
16,2022-07-11 13:15:00,630.0,630.0,627.95,628.0,16868
17,2022-07-11 13:30:00,628.0,634.0,628.0,634.0,18242
18,2022-07-11 13:45:00,634.0,634.45,631.55,634.4,18581
19,2022-07-11 14:00:00,634.4,634.4,630.95,631.0,18901
20,2022-07-11 14:15:00,631.0,631.0,629.0,630.8,19299
21,2022-07-11 14:30:00,630.8,633.95,630.0,632.5,20647
22,2022-07-11 14:45:00,632.5,632.5,631.0,632.0,21597
23,2022-07-11 15:00:00,632.0,632.0,631.0,631.95,22337
24,2022-07-11 15:15:00,631.95,633.0,631.0,632.0,26394
25,2022-07-11 15:30:00,631.7,631.7,631.7,631.7,26394
26,2022-07-12 09:15:00,632.0,632.0,628.95,630.25,163
27,2022-07-12 09:30:00,630.25,630.25,630.0,630.0,250
28,2022-07-12 09:45:00,630.0,630.0,625.95,625.95,415
29,2022-07-12 10:00:00,625.95,628.05,625.95,626.9,583
30,2022-07-12 10:15:00,626.9,629.25,624.45,624.45,980
31,2022-07-12 10:30:00,624.45,625.9,624.1,624.1,1646
32,2022-07-12 10:45:00,624.1,624.1,623.4,623.4,1654
