,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1745.05,1775.8,1745.05,1764.05,10530
1,2022-07-25 09:30:00,1765.0,1765.85,1750.0,1755.75,26857
2,2022-07-25 09:45:00,1755.75,1755.75,1735.0,1745.95,35369
3,2022-07-25 10:00:00,1745.95,1752.9,1741.45,1748.85,40670
4,2022-07-25 10:15:00,1748.85,1755.0,1743.0,1750.0,43880
5,2022-07-25 10:30:00,1750.0,1766.05,1750.0,1766.0,48398
6,2022-07-25 10:45:00,1766.05,1772.0,1756.85,1764.7,53350
7,2022-07-25 11:00:00,1764.7,1765.0,1755.1,1757.3,55949
8,2022-07-25 11:15:00,1757.3,1758.0,1752.05,1754.0,58150
9,2022-07-25 11:30:00,1754.0,1758.6,1752.0,1752.0,59894
10,2022-07-25 11:45:00,1753.0,1762.0,1752.0,1760.35,61132
11,2022-07-25 12:00:00,1760.35,1760.35,1756.05,1757.4,62176
12,2022-07-25 12:15:00,1757.4,1766.0,1754.0,1764.0,63398
13,2022-07-25 12:30:00,1764.0,1770.0,1764.0,1767.2,65624
14,2022-07-25 12:45:00,1767.2,1774.65,1764.0,1764.0,69822
15,2022-07-25 13:00:00,1765.25,1765.25,1758.25,1762.85,72031
16,2022-07-25 13:15:00,1762.85,1764.65,1756.0,1756.0,72952
17,2022-07-25 13:30:00,1756.35,1759.4,1753.1,1753.25,76942
18,2022-07-25 13:45:00,1753.25,1756.8,1751.4,1752.15,79714
19,2022-07-25 14:00:00,1752.15,1760.0,1752.15,1760.0,81471
20,2022-07-25 14:15:00,1760.0,1760.9,1758.2,1760.85,83212
21,2022-07-25 14:30:00,1760.9,1764.95,1756.4,1757.95,85993
22,2022-07-25 14:45:00,1757.0,1761.95,1756.4,1760.0,88230
23,2022-07-25 15:00:00,1760.0,1762.0,1759.0,1759.0,90161
24,2022-07-25 15:15:00,1759.0,1761.2,1751.4,1758.5,95194
25,2022-07-25 15:30:00,1758.5,1758.5,1757.85,1757.85,98567
