,Date,o,h,l,c,v
0,2022-07-25 09:15:00,324.8,326.2,324.35,325.5,6071
1,2022-07-25 09:30:00,325.5,325.55,320.95,323.2,14862
2,2022-07-25 09:45:00,323.05,323.05,321.6,322.05,18166
3,2022-07-25 10:00:00,322.05,322.45,321.5,322.35,19547
4,2022-07-25 10:15:00,322.35,323.3,321.85,322.55,20497
5,2022-07-25 10:30:00,322.55,322.55,321.7,322.0,21568
6,2022-07-25 10:45:00,322.0,323.0,321.55,322.9,21987
7,2022-07-25 11:00:00,322.9,322.9,322.0,322.0,22681
8,2022-07-25 11:15:00,322.0,322.0,321.5,321.7,23545
9,2022-07-25 11:30:00,321.7,322.7,321.7,322.3,24140
10,2022-07-25 11:45:00,322.3,322.3,320.7,321.55,26091
11,2022-07-25 12:00:00,321.55,321.65,320.8,320.8,29074
12,2022-07-25 12:15:00,320.8,321.95,320.8,321.65,30348
13,2022-07-25 12:30:00,321.65,321.65,320.9,321.35,32468
14,2022-07-25 12:45:00,321.35,321.65,321.05,321.5,32889
15,2022-07-25 13:00:00,321.5,321.85,321.5,321.5,33288
16,2022-07-25 13:15:00,321.5,322.55,321.5,322.25,34138
17,2022-07-25 13:30:00,322.25,322.5,321.6,322.45,35134
18,2022-07-25 13:45:00,322.45,322.55,322.2,322.55,35613
19,2022-07-25 14:00:00,322.55,322.75,322.2,322.75,36126
20,2022-07-25 14:15:00,322.75,324.45,322.55,324.0,37890
21,2022-07-25 14:30:00,324.4,325.45,324.0,325.05,42379
22,2022-07-25 14:45:00,325.05,325.35,324.5,324.5,44703
23,2022-07-25 15:00:00,324.75,325.45,324.1,325.3,46398
24,2022-07-25 15:15:00,325.25,326.85,325.25,326.6,51751
25,2022-07-25 15:30:00,326.05,326.05,326.05,326.05,55304
